길명,길소개,총길이,총소요시간,시작지점명,시작지점도로명주소,시작지점소재지지번주소,종료지점명,종료지점소재지도로명주소,종료지점소재지지번주소,경로정보,관리기관전화번호,관리기관명,데이터기준일자,위도,경도,제공기관코드,제공기관명
느림보강물길,금굴길,1.5,60분,전망정자 갈림길,,충청북도 단양군 단양읍 고수리,고수재,,충청북도 단양군 단양읍 고수리,전망정자 갈림길~고수재,043-420-2783,충청북도 단양군청,2021-09-08,,,4480000,충청북도 단양군
갈맷길 3-1코스,갈맷길 3-1코스 전부,11.5,4시간,오륙도유람선선착장,,부산광역시 남구 용호동 산 196-4,부산진시장,부산광역시 동구 진시장로 24,부산광역시 동구 범일동 290-1,오륙도유람선선착장-신선대-UN기념공원-(구)부산외대-부산진시장,051-607-4122,부산광역시 남구청,2021-08-13,,,3310000,부산광역시 남구
갈맷길 2-2코스,갈맷길 2-2코스 중 일부,6.7,3시간,광안대교,,부산광역시 수영구 남천동,오륙도유람선선착장,,부산광역시 남구 용호동 산 196-4,광안대교-동생말-어울마당-오륙도유람선선착장,051-607-4122,부산광역시 남구청,2021-08-13,,,3310000,부산광역시 남구
이야기가 있는 생태 탐방로,"자연, 문화, 역사자원을 보호하고 증가하는 생태탐방 수요에 효과적 대응을 위한 문화생태 탐방로이며 바다풍경이 아름답고 해변의 갯길은 포장도로와 비포장도로, 방조제길, 제방길, 모랫길, 소나무길, 갯바위길이 어우러져 걷는 맛이 일품이다",47,17,조금나루,전라남도 무안군 망운면 조금나루길 297,전라남도 무안군 망운면 송현리 1070-7,무안생태갯벌센터,전라남도 무안군 해제면 용산길 140,전라남도 무안군 해제면 유월리 1-1,조금나루→원송현마을→장재마을→곰솔나무→구랫들→유종동→오강섬→물암바위→ 시목마을→월두마을 갈대군락→무안생태갯벌센터,061-450-5478,무안군 관광문화과,2021-09-09,,,4950000,전라남도 무안군
옥류천이야기길(동축사길),울산에서 가장 오래된 사찰인 동축사의 이야기를 따라 걸어가는 길,5.5,2시간 30분,옥류천 입구,,울산광역시 동구 동부동 425-1,옥류천 입구,,울산광역시 동구 동부동 425-1,옥류천 입구→도린자기→바람골→메뚜깔돌→동축사→옥류천 입구,052-209-3363,울산광역시 동구청,2021-08-25,,,3710000,울산광역시 동구
해파랑길9구간,아름다운 자연과 산업화된 도시가 어우러진 울산의 본모습을 감상할 수 있는 코스다.,19.3,6시간 30분,일산해수욕장,,울산광역시 동구 일산동 1000,정자항,,울산광역시 북구 정자동 669-3,일산해수욕장→현대중공업→주전봉수대→주전몽돌해변→강동축구장→정자항,052-209-3363,울산광역시 동구청,2021-08-25,,,3710000,울산광역시 동구
갈맷길(5-1구간),을숙도 탐방,2,40분,낙동강하구둣,,부산광역시 사하구 하단동 1163번지,을숙도(강서구경계),부산광역시 사하구 하단동1153-1,부산광역시 사하구 하단동1153-1,낙동강하구둣→을숙도(강서구경계),051-220-4125,부산광역시 사하구청,2021-10-28,,,3340000,부산광역시 사하구
갈맷길(6-1구간),노을나루 탐방,1.5,30분,낙동강하구둣,,부산광역시 사하구 하단동 1163번지,강변대로(사상구경계),부산광역시 사하구 하단동1162번지,부산광역시 사하구 하단동1162번지,낙동강하구둣→강변대로(사상구경계),051-220-4125,부산광역시 사하구청,2021-10-28,,,3340000,부산광역시 사하구
갈맷길(4-1구간),감천문화마을 탐방,2.5,1시간,장군산(서구경계),,부산광역시 사하구 감천동 351-4번지,감천항,부산광역시 사하구 감천동759-14,부산광역시 사하구 감천동759-14,장군산(서구경계)→왕신슈퍼→감천삼거리→감천항,051-220-4125,부산광역시 사하구청,2021-10-28,,,3340000,부산광역시 사하구
용문산 은행나무길(물소리길 6코스),용문산의 은행나무를 향해 떠나는 물소리길의 마지막 여정입니다. 양평이 지닌 자연의 절정을 느낄 수 있습니다.,10,3시간 내외,용문역 3번 출구,경기도 양평군 용문면 용문역길 21,경기도 양평군 용문면 다문리 736-13,용문산관광지 안내소,경기도 양평군 용문면 용문산로 656,경기도 양평군 용문면 신점리 520,용문역 3번출구→용문양묘사업소→용문농협벼건조저장시설→용문생활체육공원→마룡2리마을회관→용문단위농협창고→풀향기펜션→애화몽펜션→천주교용문수련장→버드힐펜션→오촌리마을회관→구름산책펜션→현미네민박→용문산주차장→용문산관광안내소,031-770-1003,헬스투어협동조합,2021-12-29,,,4170000,경기도 양평군
백제가요정읍사오솔길(2코스 내장호 수변데크),"자연과 문화유산을 토대로 스토리와 추억을 만들어 내는 명품길로 조성하여 시민들의 휴식 공간으로 활용하고, 아름다움을 자랑하는 내장산을 배경으로 가족단위, 연인 등 많은 관광객들이 찾아와 쉬고 머물면서 아름다운 추억을 만들고 담아 갈 수 있는 오솔길입니다.",4.5,1시간30분,월영마을(문화광장),,전라북도 정읍시 쌍암동 570-2,월영마을(문화광장),,전라북도 정읍시 쌍암동 570-2,월영마을(문화광장)→내장산 조각공원→내장산 단풍테마랜드→월영마을(문화광장),063-539-5757,전라북도 정읍시청,2021-12-21,,,4690000,전라북도 정읍시
백제가요정읍사오솔길(1코스 산행구간),"자연과 문화유산을 토대로 스토리와 추억을 만들어 내는 명품길로 조성하여 시민들의 휴식 공간으로 활용하고, 아름다움을 자랑하는 내장산을 배경으로 가족단위, 연인 등 많은 관광객들이 찾아와 쉬고 머물면서 아름다운 추억을 만들고 담아 갈 수 있는 오솔길입니다.",6.4,3시간,정읍사 공원,,전라북도 정읍시 시기동 산9-25,월영마을(문화광장),,전라북도 정읍시 쌍암동 570-2,정읍사 공원→월영 갈림길→성불암 갈림길→월영마을(문화광장),063-539-5757,전라북도 정읍시청,2021-12-21,,,4690000,전라북도 정읍시
대장금마실길(1코스),대장금 마실길은 맑은 공기와 아픔다운 풍경이 일품인 정읍 옥정호에 만들어진 산책길입니다. 산수가 수려한 장금산 일원은 조선왕조실록에서 중종(中宗)의 총애를 받은 의녀(醫女)로 기록되어 있는 대장금의 고향으로 알려져 있습니다.,3.24,1시간40분,황토마을,,전라북도 정읍시 산내면 종성리 1463-1,황토마을,,전라북도 정읍시 산내면 종성리 1463-1,황토마을→중곡→난국정→황토마을,063-539-5757,전라북도 정읍시청,2021-12-21,,,4690000,전라북도 정읍시
대장금마실길(3코스),대장금 마실길은 맑은 공기와 아픔다운 풍경이 일품인 정읍 옥정호에 만들어진 산책길입니다. 산수가 수려한 장금산 일원은 조선왕조실록에서 중종(中宗)의 총애를 받은 의녀(醫女)로 기록되어 있는 대장금의 고향으로 알려져 있습니다.,8.63,3시간40분,구장금교,,전라북도 정읍시 장금리 882-2,구장금교,,전라북도 정읍시 장금리 882-2,구장금교→바람골→장금산→난국정→황토마을→신흥리→바람골→구장금교,063-539-5757,전라북도 정읍시청,2021-12-21,,,4690000,전라북도 정읍시
대장금마실길(4코스),대장금 마실길은 맑은 공기와 아픔다운 풍경이 일품인 정읍 옥정호에 만들어진 산책길입니다. 산수가 수려한 장금산 일원은 조선왕조실록에서 중종(中宗)의 총애를 받은 의녀(醫女)로 기록되어 있는 대장금의 고향으로 알려져 있습니다.,4.68,2시간30분,황토마을,,전라북도 정읍시 산내면 종성리 1463-1,임병찬창의유적지,,전라북도 정읍시 산내면 종성리 276-1,황토마을→신촌관광마을체험장→임병찬창의유적지,063-539-5757,전라북도 정읍시청,2021-12-21,,,4690000,전라북도 정읍시
갓바위 소원성취길,우리나라 3대기도처중 하나인 갓바위 가는길,2,1시간,갓바위시설지구,,대구광역시 동구 진인동 123-26,갓바위,,경상북도 경산시 와촌면 대한리 산63,갓바위시설지구-관암사-돌계단-갓바위(관봉석조여래좌상),053-662-4122,대구광역시 동구청,2021-05-25,,,3420000,대구광역시 동구
달성보 녹색길,달성군의 자연과 문화유적지를 이해하며 역사와 문화가 살아있는 명품 녹색길,22.4,10시간,대곡역,대구광역시 달서구 비슬로 2720,대구광역시 달서구 대곡동 32-2,달성보,,대구광역시 달성군 논공읍 하리 712-1,대곡역 → 대구수목원 → 남평문씨 본리세거지 → 까치봉  →기내미재 → 함박산 → 옥연지 → 송촌리 → 노이리 → 하리 → 약산온천 → 달성보,053-668-3764,대구광역시 달성군청,2021-07-26,,,3480000,대구광역시 달성군
강정보 녹색길,강정보를 따라 걸으며 낙동강을 느낄 수 있는 녹색길,19,6시간,육신사,대구광역시 달성군 하빈면 육신사길 64,대구광역시 달성군 하빈면 묘리 641,강정보,,대구광역시 달성군 다사읍 죽곡리 718-2,육신사 → 삼가헌 → 하목정 → 하빈지구 수변공원 → 영벽정 → 죽곡리분기점 → 강정마을 입구 → 강정보,053-668-3764,대구광역시 달성군청,2021-07-26,,,3480000,대구광역시 달성군
마비정 누리길,"마비정 벽화마을과 연계하여 등산과 관광, 옛길을 즐길 수 있는 친환경 산책로",8.4,4시간,마비정벽화마을,대구광역시 달성군 화원읍 마비정길 259-1,대구광역시 달성군 화원읍 본리리 1360,정대리,,대구광역시 달성군 가창면 정대리 산 147-2,"1구간 : 마비정벽화마을 → 삼필봉(1.5km), 2구간 : 마비정벽화마을 → 정대리(5.5km), 3구간 : 마비정벽화마을 → 화원자연휴양림(1.4km)",053-668-3764,대구광역시 달성군청,2021-07-26,,,3480000,대구광역시 달성군
가창 누리길,"주변 놀이공간과 문화유적지, 자연생태탐방을 함께 즐길 수 있는 시골 산길",24.5,7시간,단산리마을회관,대구광역시 달성군 가창면 단산3길 27-9,대구광역시 달성군 가창면 단산리 271,행정2리 마을회관,대구광역시 달성군 가창면 흥덕길 24,대구광역시 달성군 가창면 행정리 475-9,"1구간 : 단산리마을회관 → 가창성당(5.2km), 2구간 : 가창체육공원 → 가창체육공원(7.7km), 3구간 : 행정교 앞 → 행정2리 마을화관앞(11.6km)",053-668-3764,대구광역시 달성군청,2021-07-26,,,3480000,대구광역시 달성군
최정산 누리길,최정산 주변 등산과 산딸나무길을 가볍운 산책과 함께 쉴 수 있는 휴식여가공간,34.4,15시간,최정산입구(주리),,대구광역시 달성군 가창면 옥분리 366-3,남지장사,대구광역시 달성군 가창면 남지장사길 95,대구광역시 달성군 가창면 우록리 872,"최정산입구 → 최정산 목장 → 대구미술광장, 광덕사 → 주암산 →최정산, 운흥사 → 최정산, 헐티재 → 조리봉 → 산뱅이산→ 남지장사",053-668-3764,대구광역시 달성군청,2021-07-26,,,3480000,대구광역시 달성군
비슬산둘레길 1구간,화원역사탐방로길,8,3시간,남평문씨본리세거지,,대구광역시 달성군 화원읍 인흥길 253,옥포읍 소계정,대구광역시 달성군 옥포읍 기세리 714,대구광역시 달성군 옥포읍 옥포로57길 25-15,남평문씨본리세거지 → 옥포읍 소계정,053-668-3764,대구광역시 달성군청,2021-07-26,,,3480000,대구광역시 달성군
문화·과학·상상의 길,문화·과학·상상의 길,4,7시간,노원에코센터,서울특별시 노원구 덕릉로 460,서울특별시 노원구 상계동 770-2,104마을예술창작소,서울특별시 노원구 중계로6길 125(중계동),서울특별시 노원구 중계동 104-3,"제1코스 도시 속 문화·생태·과학의 길 노원에코센터→노원우주학교→북서울미술관→시립과학관, 제2코스 문화·체험·상상의 나래 길 문화예술회관→피노파밀리아→104마을예술창작소",02-2116-3792,노원구청 문화예술과,2021-09-13,,,3100000,서울특별시 노원구
지리산둘레길 1코스,▶주천-운봉 구간은 지리산 서북 능선을 조망하면서 해발 500m의 운봉고원의 너른 들과 6개의 마을을 잇는 옛길이 지금도 잘 남아 있는 구간 ▶특히 10km의 옛길 중 솔정지와 구룡치를 잇는 내송~회덕까지의 옛길 4.4km는 길 폭이 넉넉하고 노면이 잘 정비되어 있으며 경사도가 완만하다,14.3,6시간,주천면(치안센터),전라북도 남원시 주천면 외평2길 3,,운봉읍 농협사거리,전라북도 남원시 운봉읍 운봉로 679,전라북도 남원시 서천면 231-5,주천면(치안센터)→내송마을(개미정지)→솔정지→구룡치→회덕마을(샛집)→노치마을(돌탑)→덕산저수지→질매제→가장마을→행정마을(서어나무숲)→양묘장→운봉읍(농협),055-884-0850,사단법인 숲길,2021-09-13,,,4700000,전라북도 남원시
지리산둘레길 2코스,"▶운봉-인월 구간은 오른쪽으로는 바래봉~고리봉을 잇는 지리산 서북 능선을 조망하고 왼쪽으로는 수정봉, 고남산으로 이어지는 백두대간을 바라보며 운봉 고원을 걷는 길  ▶이 구간은 10km 대부분 구간이 제방길과 임도로 되어 있고 길 폭이 넓고 여럿이 함께 걷기에 좋은 평지길이다. 주변에는 황산대첩비지, 국악의 성지, 송흥록 생가 등 문화와 역사가 깃든 길이기도 하다",9.4,4시간,운봉읍 농협사거리,전라북도 남원시 운봉읍 운봉로 679,,인월(구인월교),전라북도 남원시 인월면,전라북도 남원시 인월면,운봉읍(농협)→서림공원→북천마을→신기마을→비전마을→군화동→옥계저수지→흥부골자연휴양림→월평마을→인월면(구인월교),055-884-0850,사단법인 숲길,2021-09-13,,,4700000,전라북도 남원시
지리산둘레길 3코스,"▶인월-금계 구간은 지리산숲길 시범구간 개통지인 지리산 북부지역 남원시 산내면 상황마을과 함양군 마천면 창원마을을 잇는 길 ▶옛 고갯길 등구재를 중심으로 지리산 주능선을 조망하고 넓게 펼쳐진 다랭이논과 6개의 산촌마을을 지나 엄천강으로 이어지는 길이다. 제방로, 농로, 차도, 임도, 숲길 등이 전구간에 골고루 섞여 있어 산과 계곡을 고루 느낄 수 있다",19.3,8시간,인월(구인월교),전라북도 남원시 인월면,,금계마을(지리산둘레길함양안내센터),,경상남도 함양군 마천면 의탄리,인월교(구인월교)→중군마을→황매암→수성대→매너미재→장항마을→장항교→매동마을→중황마을→상황마을→등구재→창원마을→금계마을,055-884-0850,사단법인 숲길,2021-09-13,,,4700000,전라북도 남원시
지리산둘레길 22코스(주천-밤재),▶주천-밤재 구간은 지리산 둘레 800리(약 300여km)를 잇는 국내 최초의 장거리 도보길인 지리산둘레길의 도착 지점이다. ▶경사도가 원만하여 남녀노소 누구나 부담없이 떠날 수 있다. 특히 남원과 구례를 잇는 밤재는 인적이 뜸해 자연의 순수함을 그대로 간직하고 있어 편안한 탐방길을 나서기에 좋다.,7.05,3시간30분,주천면(치안센터),전라북도 남원시 주천면 외평2길 3,,앞밤재,,전라남도 구례군 산동면 계천리,원터거리(주천치안센터)→새뜸(외평마을)→농암정(용궁마을 입구)→안용궁→정문등(장안제안 유씨종가)→절터→꼭두마리재→부엉데미(학생수련원)→벼락박골→앞밤재,055-884-0850,사단법인 숲길,2021-09-13,,,4700000,전라북도 남원시
소백산자락길 제4코스,가리점 마을옛길,13.4,200분,당동리,,충청북도 단양군 대강면 당동리 58-3,기촌리,,충청북도 단양군 단양읍 기촌리 107,당동리~기촌리(금곡초),043-420-2556,충청북도 단양군청,2021-09-08,,,4480000,충청북도 단양군
소백산자락길 제5코스,황금구만냥길,15.8,235분,기촌리(금곡초),,충청북도 단양군 단양읍 기촌리 107,고드너머재,,충청북도 단양군 가곡면 보발리 899,기촌리(금곡초)~고드너머재,043-420-2556,충청북도 단양군청,2021-09-08,,,4480000,충청북도 단양군
소백산자락길 제6코스,온달평강 로맨스길,13.8,205분,고드너머재,,충청북도 단양군 가곡면 보발리 899,영춘면사무소,,충청북도 단양군 영춘면 상리 395-5,고드너머재~영춘면사무소,043-420-2556,충청북도 단양군청,2021-09-08,,,4480000,충청북도 단양군
소백산자락길 제7코스,십승지 의풍옛길,18.2,270분,영춘면사무소,,충청북도 단양군 영춘면 상리 395-5,김삿갓묘,,충청북도 단양군 영춘면 의풍리 777-5,영춘면사무소~김삿갓묘,043-420-2556,충청북도 단양군청,2021-09-08,,,4480000,충청북도 단양군
선암골생태유람길,물소리길,14.8,222분,단성생활체육공원,,충청북도 단양군 단성면 하방리 162-2,벌천삼거리,,충청북도 단양군 단성면 벌천리,단성생활체육공원~벌천삼거리,043-420-2556,충청북도 단양군청,2021-09-08,,,4480000,충청북도 단양군
선암골생태유람길,고개넘어길,10,150분,벌천삼거리,,충청북도 단양군 단성면 벌천리,방곡삼거리,,충청북도 단양군 대강면 방곡리,벌천삼거리~방곡삼거리,043-420-2556,충청북도 단양군청,2021-09-08,,,4480000,충청북도 단양군
직지문화모티길,임진왜란 때 나라를 지키기 위해 일어났던 사명대사는 30세에 직지사 주지를 지냈다. 사명대사길과 직지문화모티길은 그의 업적을 기리고 재조명하고자 조성한 길이다.,4.5,2시간,직지공영주차장,,경상북도 김천시 대항면 향천리 307-4,쉼터,,경상북도 김천시 대항면 운수리 산83-2,직지공영주차장 - 직지저수지 - 기날쉼터 - 쉼터,054-420-6647,김천시청 문화관광과,2019-09-16,,,5060000,경상북도 김천시
인현왕후길,"인현왕후가 장희빈의 계략으로 서인으로 강등되었을 때, 3년간 머물며 복위를 기원한 곳이 수도산 청암사이다. 이 길을 걷다 보면 민초들의 존경을 한 몸에 받은 인현왕후의 참된 인품을 느낄 수 있다.",9,2.5시간,수도리 주차장,,경상북도 김천시 증산면 수도리 412,수도리 주차장,,경상북도 김천시 증산면 수도리 412,수도리 주차장 - 쉼터 - 흔들다리 - 용추폭포 - 수도리주차장,054-420-6647,김천시청 문화관광과,2019-09-16,,,5060000,경상북도 김천시
수도녹색숲모티길,수도녹색숲모티길은 수도산을 비롯한 고산으로 에워싸여 있고 수백만그루의 나무가 조성되어 있는 녹색숲이다.,15,4시간,수도리 주차장,,경상북도 김천시 증산면 수도리 412,원황점,,경상북도 김천시 증산면 황점리 114-2,수도리 주차장 - 아름다운 숲길 - 낙엽송보존림 - 원황점,054-420-6647,김천시청 문화관광과,2019-09-16,,,5060000,경상북도 김천시
팔공산녹색길 숲길 1코스,도심에 인접한 첩첩산중길,11.3,4시간,바리고개,,대구광역시 동구 도동 산51-2,초례산,,대구광역시 동구 내곡동 산53-1,바리고개-용암산성-대암봉-요령봉-생태육교-새미기재-초례산,053-662-4122,대구광역시 동구청,2021-05-25,,,3420000,대구광역시 동구
용담호수 둘레길,용담저수지와 어우러진 둘레길,4,1시간 20분,관리사무소,경기도 용인시 처인구 원삼면 원양로 422,경기도 용인시 처인구 원삼면 사암리 산2-8,용담저수지,경기도 용인시 처인구 원삼면 원양로 422,경기도 용인시 처인구 원삼면 사암리 40,용담둘레길 관리사무소 → 저수지 제방길 → 등산로 → 숲속에안뜰 캠핑장 → 자동차쉼터 → 용담낚시터관리사무소 → 용담둘레길 관리사무소,031-324-4054,용인시농업기술센터/한국농어촌공사,2019-04-10,,,4050000,경기도 용인시
꺼먼재산_숲길(등산)1코스,"해발 401m 높이의 꺼먼재산_1코스는 총길이 2.8Km 정도이며, 총 소요시간은 1시간 20분 정도 소요되는 코스입니다.",2.8,1시간 20분,대망2리(항골),,경상북도 구미시 고아읍 대망리 산72-4,북봉산(다봉산) 정상,,경상북도 구미시 부곡동 산1-3,대망2리(항골) > 꺼먼재산 > 북봉산(다봉산) 정상,054-480-5863,경상북도 구미시청,2021-06-28,,,5080000,경상북도 구미시
냉산(태조산)_숲길(등산)1코스,"해발 691.6m 높이의 냉산(태조산)_1코스는 총길이 7.4Km 정도이며, 총 소요시간은 3시간 45분 정도 소요되는 코스입니다.",7.4,3시간 45분,도리사주차장,,경상북도 구미시 해평면 송곡리 402,땅재,,경상북도 구미시 해평면 도문리 산56-1,도리사주차장 > 도리사 > 냉산(태조산) > 땅재,054-480-5863,경상북도 구미시청,2021-06-28,,,5080000,경상북도 구미시
냉산(태조산)_숲길(등산)2코스,"해발 691.6m 높이의 냉산(태조산)_2코스는 총길이 7.7Km 정도이며, 총 소요시간은 3시간 35분 정도 소요되는 코스입니다.",7.7,3시간 35분,도리사주차장,,경상북도 구미시 해평면 송곡리 402,일선리,,경상북도 구미시 해평면 일선리 1-107,도리사주차장 > 도리사 > 냉산(태조산) > 일선리,054-480-5863,경상북도 구미시청,2021-06-28,,,5080000,경상북도 구미시
덕무봉_숲길(등산)1코스,"해발 227m 높이의 덕무봉_1코스는 총길이 3.2Km 정도이며, 총 소요시간은 1시간 40분 정도 소요되는 코스입니다.",3.2,1시간 40분,오상중고교,,경상북도 구미시 장천면 상장리 698,여남리,,경상북도 구미시 장천면 여남리 680,오상중고교 > 덕무봉 정상 > 여남리,054-480-5863,경상북도 구미시청,2021-06-28,,,5080000,경상북도 구미시
매봉산_숲길(등산)1코스,"해발 220m 높이의 매봉산_1코스는 총길이 3.4Km 정도이며, 총 소요시간은 1시간 40분 정도 소요되는 코스입니다.",3.4,1시간 40분,괴평,,경상북도 구미시 고아읍 송림리 388-1,수자원길,,경상북도 구미시 고아읍 괴평리 1133,괴평 > 매봉산 정상 > 수자원길,054-480-5863,경상북도 구미시청,2021-06-28,,,5080000,경상북도 구미시
백마산_숲길(등산)1코스,"해발 187m 높이의 백마산_1코스는 총길이 1.7Km 정도이며, 총 소요시간은 50분 정도 소요되는 코스입니다.",1.7,50분,에덴아파트,,경상북도 구미시 고아읍 오로리 산25-4,오로1리회관,,경상북도 구미시 고아읍 오로리 315-1,에덴아파트 > 백마산 정상 > 오로1리회관,054-480-5863,경상북도 구미시청,2021-06-28,,,5080000,경상북도 구미시
베틀산_숲길(등산)1코스,"해발 370m 높이의 베틀산_1코스는 총길이 5Km 정도이며, 총 소요시간은 2시간 35분 정도 소요되는 코스입니다.",5,2시간 35분,도리미,,경상북도 구미시 산동면 도중리 산55-2,금산리,,경상북도 구미시 해평면 금산리 산55,도리미 > 우베틀산 > 베틀산 > 좌베틀산 > 금산리,054-480-5863,경상북도 구미시청,2021-06-28,,,5080000,경상북도 구미시
석모도바람길,석모도 길여행,16,5시간,나룻부리항 시장,인천광역시 강화군 삼산면 삼산북로 11-1,인천광역시 강화군 삼산면 석포리 511-43,보문사 주차장,인천광역시 강화군 삼산면 삼산남로828번길 13,인천광역시 강화군 삼산면 매음리 636-6,석모도선착장 → 매음리선착장 → 어류정항 → 민머루해변 → 어류정수문 → 보문사,032-930-3579,강화군청 문화관광과,2021-08-09,,,3570000,인천광역시 강화군
주문도길,주문도 길여행,11.3,3시간 30분,주문도 선착장,,인천광역시 강화군 서도면 주문도리 886-1,주문도 선착장,,인천광역시 강화군 서도면 주문도리 886-1,주문도선착장 → 배너머고개 → 주문저수지 → 서도 초.중.고 입구 → 주문진 → 서도중앙교회 → 해당화군락지 → 살꾸지 → 뒷장술 → 고마이 → 대빈창 → 주문도선착장,032-930-3579,강화군청 문화관광과,2021-08-09,,,3570000,인천광역시 강화군
볼음도길,볼음도 길여행,13.6,4시간,볼음도 선착장,인천광역시 강화군 서도면 볼음도길 10,인천광역시 강화군 서도면 볼음도리 17-2,볼음도 선착장,인천광역시 강화군 서도면 볼음도길 10,인천광역시 강화군 서도면 볼음도리 17-2,볼음도선착장 → 물엄곶 → 조개골해변 → 영뜰해변 → 서도은행나무 → 갯논 뜰 → 당아래마을 → 볼음도선착장,032-930-3579,강화군청 문화관광과,2021-08-09,,,3570000,인천광역시 강화군
강화도령첫사랑길,강화도령 철종의 추억을 따라 걷는 여행,11.7,3시간 30분,용흥궁 관리소,,인천광역시 강화군 강화읍 관청리 443-1,철종외가 관리소,인천광역시 강화군 선원면 철종외가길 46-1,인천광역시 강화군 선원면 냉정리 264,용흥궁 → 청하동약수터 → 남장대 → 찬우물약수터 → 철종외가,032-930-3579,강화군청 문화관광과,2021-08-09,,,3570000,인천광역시 강화군
공릉동 꿈마을여행 여행,공릉동 마을공동체 탐방 및 문화유산 체험,0,코스별 2시간,공릉청소년문화정보센터,서울특별시 노원구 노원로1나길 10,서울특별시 노원구 공릉동 87-5,태.강릉,서울특별시 노원구 화랑로 727,서울특별시 노원구 공릉동 26-103,"1코스(꿈마을공동체 산책)기관 사정 및 참가자의 특성에 따라 매번 코스 상이*주요 장소: 도깨비시장, 공릉행복발전소, 극단즐거운사람들, 서울여성공예센터, 지구불시착, 마을과마디,꿈마을사랑방, 행복중심생협 등2코스(경춘선 철길 산책)경춘선숲길.바람길-북카페다락.화랑대역(폐역)-목예원3코스(역사문화 산책)조선왕릉전시관.홍살문.정자각.태릉.숲길-강릉",02-2116-3792,노원구청 문화예술과,2021-09-13,,,3100000,서울특별시 노원구
아기소망을 담은 초안산 마을여행,"내시와 궁녀의 간절한 아기소망이 담긴 월계동 비석골근린공원, 초안산 조선시대 분묘군 일대 마을여행",6.3,총3시간30분,비석골근린공원,서울특별시 노원구 초안산로5길 74,서울특별시 노원구 월계동 산 8-3,연리지,서울특별시 노원구 초안산로5길 28,서울특별시 노원구 월계동 산 8-3,"1코스(아기소망길)비석골근린공원 석물전시장→길목 지키는 문인석→잣나무힐링숲→상궁 개성박씨묘→내시 승극철부부묘→연리지(3.5㎞,2시간)2코스(연리지길)비석골근린공원 석물전시장→길목 지키는 문인석→잣나무힐링숲→상궁 개성박씨묘→생태숲길→연리지(2.8㎞,1시간30분)",02-2116-3792,노원구청 문화예술과,2021-09-13,,,3100000,서울특별시 노원구
노원둘레산천길,노원의 자연환경과 문화유선 생태자원을 엮은 도보여행길,27.9,총14시간,수락산역,서울특별시 노원구 동일로 1662,서울특별시 노원구 상계동 1132-9,수락산역,서울특별시 노원구 동일로 1662,서울특별시 노원구 상계동 1132-9,1코스: 치유숲길수락산역 ~ 불암산갈림길2코스:시간여행길불암산갈림길~ 경춘철교3코스:에코둘레길당현천길 ~에코센터4코스:생태둘레길중랑천변~수락산역,02-2116-3792,노원구청 문화예술과,2021-09-13,,,3100000,서울특별시 노원구
사명대사길,임진왜란 때 나라를 지키기 위해 일어났던 사명대사는 30세에 직지사 주지를 지냈다. 사명대사길과 직지문화모티길은 그의 업적을 기리고 재조명하고자 조성한 길이다.,4.5,2시간,직지공영주차장,,경상북도 김천시 대항면 향천리 307-4,직지공영주차장,,경상북도 김천시 대항면 향천리 307-4,직지공영주차장 - 하야로비공원 - 쉼터 - 직지공영주차장,054-420-6647,김천시청 문화관광과,2019-09-16,,,5060000,경상북도 김천시
팔공산왕건길 2코스,열린하늘길(팔공산의 주능선을 조망하는 산길),4.5,2시간 20분,하늘다리,,대구광역시 동구 내동 산32,부남교,,대구광역시 동구 용수동 934,하늘다리-거저산 정상-하늘마루-부남교,053-662-4122,대구광역시 동구청,2021-05-25,,,3420000,대구광역시 동구
팔공산왕건길 3코스,묵연체험길(조용하게 산책하기 좋은 숲길),5.4,2시간 20분,부남교,,대구광역시 동구 용수동 934,물넘재,,대구광역시 동구 미곡동 31-2,부남교-묵연센터-통시바위-발바닥바위-물넘재,053-662-4122,대구광역시 동구청,2021-05-25,,,3420000,대구광역시 동구
팔공산왕건길 4코스,문화예술길(부담없이 편안한길),3.3,1시간,물넘재,,대구광역시 동구 미곡동 31-2,백안삼거리,,대구광역시 동구 백안동 544-1,물넘재-도학교-방짜유기박물관-동화천-백안삼거리,053-662-4122,대구광역시 동구청,2021-05-25,,,3420000,대구광역시 동구
팔공산왕건길 5코스,고진감래길(힘든 길을 지나면 편안한 길이 나와요),5.2,2시간,백안삼거리,,대구광역시 동구 백안동 544-1,평광동종점 버스정류장,,대구광역시 동구 평광동 1543-1,백안삼거리-깔딱재-돼지코-새터마을-평광종점버스정류장,053-662-4122,대구광역시 동구청,2021-05-25,,,3420000,대구광역시 동구
팔공산왕건길 6코스,호연지기길(숲속 오솔길 따라 힐링하며 걷는길),5,2시간,평광종점버스정류장,,대구광역시 동구 평광동 1543-1,매여종점,,대구광역시 동구 매여동 143,평광종점-첨백당-옻골재-요령봉-매여종점,053-662-4122,대구광역시 동구청,2021-05-25,,,3420000,대구광역시 동구
팔공산왕건길 7코스,가팔환초길(초례산 정상으로 올라가는 길),3.3,2시간 10분,매여종점,,대구광역시 동구 매여동 143,초례산,,대구광역시 동구 내곡동 산53-1,매여종점-사방댐-가팔환초 쉼터-매환초 삼거리-초례산,053-662-4122,대구광역시 동구청,2021-05-25,,,3420000,대구광역시 동구
