관리번호,인허가일자,인허가취소일자,영업상태구분코드,폐업일자,휴업시작일자,재개업일자,야영(캠핑)장명,야영(캠핑)장구분,위도,경도,소재지도로명주소,소재지지번주소,야영장전화번호,야영사이트수,부지면적,건축연면적,시설면적,문화체육업종명,문화사업자구분명,지역구분명,총층수,주변환경명,보험기관명,건물용도명,지상층수,지하층수,객실수,보험시작일자,보험종료일자,1일최대수용인원수,주차장면수,편의시설,안전시설,기타부대시설,이용시간,이용요금,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
,,,,,,,만리포몰디브,야영장,36.7963315729,126.1478700,충청남도 태안군 소원면 의항리 977-26,충청남도 태안군 소원면 의항리 977-26,041-670-2114,1,2002,,,,,,,,,,,,,,,52,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2019-05-31,4620000,충청남도 태안군
,,,,,,,돌고래펜션야영장,야영장,36.674017,126.2692144352,충청남도 태안군 남면 몽산리 661-1,충청남도 태안군 남면 몽산리 661-1,041-670-2114,1,830,,,,,,,,,,,,,,,20,,전기시설+하수도시설,소화기+대피공간,,,,041-670-2766,태안군청,2019-05-31,4620000,충청남도 태안군
,,,,,,,산들바다관광농원,자동차야영장,35.06895735,128.4493999,경상남도 고성군 동해면 외산로 330,경상남도 고성군 동해면 외산리 1122,000-0000-0000,37,,,,,,,,,,,,,,,,148,37,"화장실, 샤워실, 취사장","소화기, 연기감지기",,,"야영장시설:30,000원, 글램핑시설:150,000원",055-670-2234,고성군청,2019-06-05,6480000,경상남도
,,,,,,,밀양아리랑 오토캠핑장,자동차야영장,35.351261,128.756852,,경상남도 밀양시 하남읍 백산리474-32,055-359-4620,200,,,,,,,,,,,,,,,,800,200,"전기시설, 샤워실, 개수대, 족구장 2면,다목적구장 3면","소화기, 대피공간,CCTV 18, 재난경보시설3,수위경보시설 1","가로등 39등, 와이파이 4개소, 해충퇴치기 10개",14:00~익일12:00,"20,000",055-359-4636,밀양시청,2019-06-05,6480000,경상남도
,,,,,,,사과향기캠핑장,야영장,35.5789601831,128.980601632,경상남도 밀양시 산내면 엄음골옛실 347-12(산내면),경상남도 밀양시 산내면 남명리2,000-0000-0000,18,,77.6,,,,,,,,,,,,,,76,19,"전기시설, 샤워실, 개수대, 매점","소화기, CCTV,",와이파이,16:00~익일15:00,"35,000",000-0000-0000,밀양시청,2019-06-05,6480000,경상남도
,,,,,,,밀양표충오토캠핑장,자동차야영장,35.52328185,128.9267413,경상남도 밀양시 단장면 바드리길 7(단장면),경상남도 밀양시 단장면 구천리581,000-0000-0000,106,,340.57,,,,,,,,,,,,,,424,106,"전기시설, 샤워실, 개수대, 매점,수영장,취사장","소화기, CCTV,",와이파이,15:00~익일13:00,"30,000/40,000/50,000",055-351-1033,밀양시청,2019-06-05,6480000,경상남도
,,,,,,,호반오토캠핑장,자동차야영장,35.56264792,128.8939411,경상남도 밀양시 산내면 발례1길 103-8(산내면),경상남도 밀양시 산내면 임고리224,000-0000-0000,87,,233,,,,,,,,,,,,,,420,120,"전기시설, 샤워실, 개수대,  족구장, 매점, 수영장","소화기, CCTV,",,12:30~익일12:30,"40,000",055-351-2256,밀양시청,2019-06-05,6480000,경상남도
,,,,,,,범도오토캠핑장(총무),자동차야영장,35.52336872,128.9099532,경상남도 밀양시 단장면 표충로 860(단장면),경상남도 밀양시 단장면 범도리780,000-0000-0000,40,,190.8,,,,,,,,,,,,,,160,40,"전기시설,샤워실,개수대, 실내놀이터, 매점,관리실","소화기, CCTV,",와이파이,10:00~익일14:00,"40,000",000-0000-0000,밀양시청,2019-06-05,6480000,경상남도
,,,,,,,밀양사계절야영장,자동차야영장,35.51301682,128.8425068,경상남도 밀양시 산외면 표충로 11-9(산외면),경상남도 밀양시 산외면 금곡리16-34,000-0000-0000,8,952,54,,,,,,,,,,,,,,50,20,"전기시설,샤워실, 개수대,매점,축구장,족구장,농구장,놀이터,물놀이장","소화기, CCTV,",,,"35,000/40,000",000-0000-0000,밀양시청,2019-06-05,6480000,경상남도
,,,,,,,VIP오토캠핑장,자동차야영장,35.49714256,128.9269057,경상남도 밀양시 단장면 고례3길 14-5(단장면),경상남도 밀양시 단장면 고례리1408,000-0000-0000,14,,130.5,,,,,,,,,,,,,,100,30,"전기시설,샤워실,개수대,매점","소화기, CCTV,",,14:00~익익12:00,"40,000",000-0000-0000,밀양시청,2019-06-05,6480000,경상남도
,,,,,,,패미리오토캠핑장,자동차야영장,35.54612919,128.8586789,경상남도 밀양시 산외면 밀양대로 3516(산외면),경상남도 밀양시 산외면 희곡리7,000-0000-0000,40,,185.54,,,,,,,,,,,,,,160,50,"전기시설,샤워실,개수대,매점","소화기, CCTV,",,15:00~익일14:00,"40,000",000-0000-0000,밀양시청,2019-06-05,6480000,경상남도
,,,,,,,재약산 숲 야영장,야영장,35.5248101,128.909802,경상남도 밀양시 단장면 범도리774-1,경상남도 밀양시 단장면 범도리774-1,000-0000-0000,5,,165.32,,,,,,,,,,,,,,30,15,"전기시설,샤워실,개수대,매점","소화기, CCTV,",,15:00~익일13:00,"40,000/50,000",055-353-9965,밀양시청,2019-06-05,6480000,경상남도
,,,,,,,구만산장 캠핑장,야영장,35.6009688,128.871028,,경상남도 밀양시 산내면 봉의리939,000-0000-0000,48,,456.25,,,,,,,,,,,,,,200,50,"매점,물놀이장, 샤워실,개수대, 전기시설","소화기, CCTV,",와이파이,14:00~익일13:00,"40,000",055-353-7252,밀양시청,2019-06-05,6480000,경상남도
,,,,,,,향림오토캠핑장,자동차야영장,35.57974936,128.9801754,경상남도 밀양시 산내면 얼음골로134-25(산내면),경상남도 밀양시 산내면 삼양리 181-7,000-0000-0000,24,,191.34,,,,,,,,,,,,,,100,24,"전기시설,샤워실,개수대,화장실, 족구장","소화기, CCTV,",와이파이,14:00~익일12:00,"40,000",000-0000-0000,밀양시청,2019-06-05,6480000,경상남도
,,,,,,,초록슈피아캠핑장,자동차야영장,35.5872461,128.9570481,경상남도 밀양시 산내면 산내로 1174-1(산내면),경상남도 밀양시 산내면 남명리1968-8,000-0000-0000,17,,110,,,,,,,,,,,,,,120,30,"화장실,샤워실,개수대,매점","소화기, CCTV,",,12:00~익일12:00,"40,000",000-0000-0000,밀양시청,2019-06-05,6480000,경상남도
,,,,,,,서당골캠핑장,야영장,35.515402,128.6014958,경상남도 밀양시 무안면 삼화길 680-22(무안면),경상남도 밀양시 무안면 화봉리 1528,000-0000-0000,6,,36,,,,,,,,,,,,,,30,7,"화장실,샤워실,개수대","소화기, CCTV,",,15:00~익일14:00,"40,000",000-0000-0000,밀양시청,2019-06-05,6480000,경상남도
,,,,,,,마루한캠핑장,야영장,35.3147290879,127.0587525966,전라남도 담양군 금성면 상신기길 108,전라남도 담양군 금성면 봉황리 104-2,061-380-3151,36,3768,290,,,,,,,,,,,,,,80,20,휴게실,대피소,개수대/샤워실,24,30000,061-380-3153,담양군,2020-03-12,4850000,전라남도 담양군
,,,,,,,노일강 캠핑장,야영장,37.6889632081,127.7315872231,강원도 홍천군 북방면 노일로 342-16,강원도 홍천군 북방면 노일리 923-1,033-432-1335,10,1000,100,,,,,,,,,,,,,,20,10,화장실+취사시설+,소화기+대피공간,자료없음,자료없음,자료없음,033-430-2454,강원도 홍천군청,2019-11-20,4250000,강원도 홍천군
,,,,,,,우니메이카,야영장,37.7293703170,128.2392622409,강원도 홍천군 서석면 마리소리길 57,강원도 홍천군 서석면 검산리 357,033-5852-8918,8,1450,72,,,,,,,,,,,,,,20,10,화장실+취사시설+,소화기+대피공간,자료없음,자료없음,자료없음,033-430-2454,강원도 홍천군청,2019-11-20,4250000,강원도 홍천군
,,,,,,,살둔산장,야영장,37.8314460484,128.3691749228,강원도 홍천군 내면 살둔길 30-15,강원도 홍천군 내면 율전리 212-10,033-435-5984,10,1000,100,,,,,,,,,,,,,,20,10,화장실+취사시설+,소화기+대피공간,자료없음,자료없음,자료없음,033-430-2454,강원도 홍천군청,2019-11-20,4250000,강원도 홍천군
,,,,,,,클럽레스피아,야영장,37.6856357488,127.7276909377,강원도 홍천군 북방면 구룡밭길 24-30,강원도 홍천군 북방면 노일리 854-5,070-7719-6891,10,1000,100,,,,,,,,,,,,,,20,10,화장실+취사시설+,소화기+대피공간,자료없음,자료없음,자료없음,033-430-2454,강원도 홍천군청,2019-11-20,4250000,강원도 홍천군
,,,,,,,폴라리스야영장,야영장,35.0636451,128.478700,경상남도 고성군 동해면 내산리 102-4,경상남도 고성군 동해면 조선특구로 2126,070-7422-7089,10,2334,330,,,,,,,,,,,,,,40,20,"화장실, 샤워실, 취사장","소화기, 연기감지기",카페,,"주중글램핑:70000원, 주말글램핑:150000원",055-670-2234,고성군청,2019-06-05,6480000,경상남도
,,,,,,,연화산반딧불이캠핑장,자동차야영장,35.0531346,128.2036754,경상남도 고성군 영현면 고봉로 613-36,경상남도 고성군 영현면 봉림리 44-9,055-759-3303,40,8928,883.63,,,,,,,,,,,,,,160,40,"화장실, 샤워실, 취사장","소화기, 연기감지기",체험시설,,텐트야영장:35000원,055-670-2234,고성군청,2019-06-05,6480000,경상남도
,,,,,,,아트앤체험캠프,자동차야영장,34.9998654,128.286435,경상남도 고성군 대가면 무량로 251,경상남도 고성군 대가면 연지리 279,000-0000-0000,45,14071,,,,,,,,,,,,,,,180,60,"화장실, 샤워실, 취사장","소화기, 연기감지기",체험시설,,"텐트야영장:33000원, 글램핑시설:120000원",055-670-2234,고성군청,2019-06-05,6480000,경상남도
,,,,,,,라파엘펜션글램핑,야영장,35.04637405,128.382459954,경상남도 고성군 회화면 당항만로 949,경상남도 고성군 회화면 당항리 543-13,055-673-8318,15,5737,58.8,,,,,,,,,,,,,,60,30,"화장실, 샤워실, 취사장","소화기, 연기감지기","펜션, 식당, 수영장",,글램핑시설:150000원,055-670-2234,고성군청,2019-06-05,6480000,경상남도
,,,,,,,얼음골야영장,야영장,34.98335201,128.1780366,경상남도 고성군 상리면 삼상로 1411,경상남도 고성군 상리면 동산리 135-2,000-0000-0000,14,4345,31.5,,,,,,,,,,,,,,56,30,"화장실, 샤워실, 취사장","소화기, 연기감지기","펜션, 식당",,야영장시설:35000원,055-670-2234,고성군청,2019-06-05,6480000,경상남도
,,,,,,,고성패밀리캠핑장,자동차야영장,34.9940595,128.2201195,경상남도 고성군 상리면 상정대로 1186,경상남도 고성군 상리면 528-4,000-0000-0000,31,9841,1146.3,,,,,,,,,,,,,,124,26,"화장실, 샤워실, 취사장","소화기, 연기감지기",체험시설,,야영장시설:40000원,055-670-2234,고성군청,2019-06-05,6480000,경상남도
,,,,,,,충효테마관광농원야영장,자동차야영장,35.02401329,128.290636,경상남도 고성군 대가면 유흥갈천길 240,경상남도 고성군 대가면 척정리 1802-1,000-0000-0000,31,29762,290,,,,,,,,,,,,,,124,16,"화장실, 샤워실, 취사장","소화기, 연기감지기",족구장,,"야영장시설:35000원, 글램핑시설:80,000dnjs",055-670-2234,고성군청,2019-06-05,6480000,경상남도
,,,,,,,당항포관광지오토캠핑장,자동차야영장,35.0552275,128.3973788,경상남도 고성군 회화면 당항만로 1116,경상남도 고성군 회화면 당항리 112-2,055-670-4501,318,49000,,,,,,,,,,,,,,,1272,250,"화장실, 샤워실, 취사장","소화기, 연기감지기","관광지, 유원시설, 수영장",,야영장시설:30000원,055-670-2234,고성군청,2019-06-05,6480000,경상남도
,,,,,,,장좌리캠핑장,자동차야영장,35.00965144,128.449549,경상남도 고성군 동해면 구절로 200,경상남도 고성군 동해면 장좌리 1029-1,055-672-5814,24,4101,97.75,,,,,,,,,,,,,,96,40,"화장실, 샤워실, 취사장","소화기, 연기감지기",체험시설,,텐트야영장:30000원,055-670-2234,고성군청,2019-06-05,6480000,경상남도
,,,,,,,청광새들녘영농조합법인야영장,야영장,35.11480819,128.3092653,경상남도 고성군 개천면 영회로 1296,경상남도 고성군 개천면 청광리 521-4,055-672-7985,29,8968,621.45,,,,,,,,,,,,,,116,23,"화장실, 샤워실, 취사장","소화기, 연기감지기",체험시설,,텐트야영장:25000원,055-670-2234,고성군청,2019-06-05,6480000,경상남도
,,,,,,,고성다이노캠핑장,자동차야영장,34.92321064,128.2987862,경상남도 고성군 삼산면 두포5길 193,경상남도 고성군 삼산면 두포리 177-16,055-672-7992,34,4953,536,,,,,,,,,,,,,,136,34,"화장실, 샤워실, 취사장","소화기, 연기감지기","수영장, 편의점",,"글램핑시설:150000원, 카라반시설:120000원",055-670-2234,고성군청,2019-06-05,6480000,경상남도
,,,,,,,블루웨일,야영장,34.92341618,128.301477,경상남도 고성군 삼산면 두포5길 113-139,경상남도 고성군 삼산면 두포리 177-16,055-673-4994,29,10398,1736.01,,,,,,,,,,,,,,116,60,"화장실, 샤워실, 취사장","소화기, 연기감지기","수영장, 찜질방, 편의점, 식당, 족구장",,"글램핑시설: 137,000원",055-670-2234,고성군청,2019-06-05,6480000,경상남도
,,,,,,,남산공원오토캠핑장,자동차야영장,34.95557163,128.3287538,경상남도 고성군 고성읍 공룡로 3165,경상남도 고성군 고성읍 신월리 657-1,070-4134-8128,41,11168,177.23,,,,,,,,,,,,,,164,30,"화장실, 샤워실, 취사장","소화기, 연기감지기",,,"야영장시설:20000원,카라반시설:150000원,글램핑:150000원",055-670-2234,고성군청,2019-06-05,6480000,경상남도
,,,,,,,블루웨일 빌리지,야영장,34.92468677,128.2999869,경상남도 고성군 삼산면 두포5길 113-109,경상남도 고성군 삼산면 두포리 177-16,055-673-4994,14,,,,,,,,,,,,,,,,56,30,"화장실, 샤워실, 취사장","소화기, 연기감지기","수영장, 찜질방, 편의점, 식당, 족구장",,"글램핑시설: 137,000원",055-670-2234,고성군청,2019-06-05,6480000,경상남도
,,,,,,,고성 잔디 캠핑장,야영장,34.95246003,128.2148235,경상남도 고성군 하일면 공룡로 1287,경상남도 고성군 하일면 용태리 479,000-0000-0000,7,,,,,,,,,,,,,,,,27,14,"화장실, 샤워실, 취사장","소화기, 연기감지기",체험시설,,야영장시설:40000원,055-670-2234,고성군청,2019-06-05,6480000,경상남도
,,,,,,,고성공룡박물관야영장,야영장,34.9108883,128.156645,경상남도 고성군 하이면 월흥리 962번지,경상남도 고성군 하이면 월흥리 962,055-670-4463,50,,,,,,,,,,,,,,,,200,225,"화장실, 샤워실, 취사장","소화기, 연기감지기",,,야영장시설:30000원,055-670-2234,고성군청,2019-06-05,6480000,경상남도
,,,,,,,놀터캠핑장,자동차야영장,35.07026157,128.450072,경상남도 고성군 동해면 외산로 353,경상남도 고성군 동해면 외산리 792,000-0000-0000,21,,,,,,,,,,,,,,,,84,21,"화장실, 샤워실, 취사장","소화기, 연기감지기",,,"야영장시설:40000원, 카라반시설:100,000원",055-670-2234,고성군청,2019-06-05,6480000,경상남도
,,,,,,,영오캠핑장,자동차야영장,35.1152051,128.2484144,경상남도 고성군 영오면 영회로 651,경상남도 고성군 영오면 연당리 705,055-759-3303,23,,,,,,,,,,,,,,,,92,23,"화장실, 샤워실, 취사장","소화기, 연기감지기",,,텐트야영장:35000원,055-670-2234,고성군청,2019-06-05,6480000,경상남도
,,,,,,,오투글램핑,야영장,35.739346,128.495432,대구광역시 달성군 옥포면 옥포로 111길 95-17,대구광역시 달성군 옥포면 김흥리 952-1,053-616-1868,10,,,,,,,,,,,,,,,,40,,전기시설+상하수도시설+화장실+샤워실,소화기+안전게시물+대피소,,,,053-668-2482,대구광역시 달성군청,2019-09-10,3480000,대구광역시 달성군
,,,,,,,토함산관광농원,야영장,35.80183798,129.2984734,경상북도 경주시 보정로 264-97,경상북도 경주시 하동 461-1,000-0000-0000,8,674,161,,,,,,,,,,,,,,32,,화장실 등,소화기 등,,,,054-779-6083,경상북도 경주시청,2019-09-21,5050000,경상북도 경주시
,,,,,,,토함산자연휴양림,야영장,35.75674531,129.3721914831,,경상북도 경주시 양북면 장항리 산599-1,054-772-1254,40,5000,122,,,,,,,,,,,,,,160,,화장실 등,소화기 등,,,,054-779-6083,경상북도 경주시청,2019-09-21,5050000,경상북도 경주시
,,,,,,,가온누리캠핑체험장,야영장,35.9811472651,129.1374521905,경상북도 경주시 안강읍 호국로 2037,,054-762-2000,46,8579,600,,,,,,,,,,,,,,200,,화장실 등,소화기 등,,,,054-779-6083,경상북도 경주시청,2019-09-21,5050000,경상북도 경주시
,,,,,,,땅에미소캠핑장,야영장,38.0549871879,127.0895645717,경기도 연천군 청산면 거저울길 371,경기도 연천군 청산면 장탄리 1074,031-833-3217,1,1617,,,,,,,,,,,,,,,384,,전기시설+상하수도시설+샤워실,소화기+대피공간,,,,031-839-2147,경기도 연천군청,2019-09-24,4140000,경기도 연천군
,,,,,,,나린오토캠핑장,자동차야영장,38.0186314610,126.9719941532,경기도 연천군 미산면 어삼로 391-81,경기도 연천군 미산면 삼화리 277-5,031-833-0000,1,5000,,,,,,,,,,,,,,,316,,전기시설+상하수도시설+샤워실,소화기+대피공간,,,,031-839-2147,경기도 연천군청,2019-09-24,4140000,경기도 연천군
,,,,,,,해지게캠핑장,야영장,38.0186132097,126.9710329969,경기도 연천군 미산면 어삼로 391-102,경기도 연천군 미산면 삼화리 산2-2,031-833-0000,30,4406,,,,,,,,,,,,,,,10,,전기시설+상하수도시설+샤워실,소화기+대피공간,,,,031-839-2147,경기도 연천군청,2019-09-24,4140000,경기도 연천군
,,,,,,,캠프포지션,야영장,37.7251115720,127.5093580414,강원도 춘천시 남면 가옹개길 31,강원도 춘천시 남면 관천리 490-1번지,000-0000-0000,8,7731,,,,,,,,,,,,,,,25,,전기시설+상하수도시설+화장실+샤워실,소화기+확성기 등 방송장비+안전게시물,,,,033-250-3071,춘천시,2019-08-31,4180000,강원도 춘천시
,,,,,,,낙동강 레포츠밸리 구지오토캠핑장,자동차야영장,35.6719922,128.3716704,대구광역시 달성군 구지면 구지서로 199,대구광역시 달성군 구지면 오설리 756,053-659-4151,23,,,,,,,,,,,,,,,,130,,전기시설+상하수도시설+화장실+샤워실+취사시설,소화기+안전게시물+대피소,,,,053-668-2482,대구광역시 달성군청,2019-09-10,3480000,대구광역시 달성군
,,,,,,,낙동강 레포츠밸리 강변오토캠핑장,자동차야영장,35.673719,128.366371,,대구광역시 달성군 구지면 오설리 873,053-659-4151,29,,,,,,,,,,,,,,,,105,,전기시설+상하수도시설+화장실+샤워실+취사시설,소화기+안전게시물+대피소,,,,053-668-2482,대구광역시 달성군청,2019-09-10,3480000,대구광역시 달성군
,,,,,,,포레스트 12 자연휴양림,야영장,35.78786674,128.6338562,대구광역시 달성군 가창면 가창로175길 8,대구광역시 달성군 가창면 냉천리 산27-2,053-608-5000,49,,,,,,,,,,,,,,,,200,,전기시설+상하수도시설+화장실+샤워실+취사시설,소화기+안전게시물+대피소,,,,053-668-2482,대구광역시 달성군청,2019-09-10,3480000,대구광역시 달성군
,,,,,,,비슬산 숲속 오토캠핑장,야영장,35.691786,128.509353195,,대구광역시 달성군 유가읍 용리 산15,053-659-4412,43,,,,,,,,,,,,,,,,250,,전기시설+상하수도시설+화장실+샤워실+취사시설,소화기+안전게시물+대피소,,,,053-668-2482,대구광역시 달성군청,2019-09-10,3480000,대구광역시 달성군
,,,,,,,가창농원 야영장,야영장,35.7273992,128.679247,대구광역시 달성군 가창면 가창로10길 56,대구광역시 달성군 가창면 삼산리 128,053-767-5295,7,,,,,,,,,,,,,,,,30,,전기시설+상하수도시설+화장실+샤워실,소화기+안전게시물+대피소,,,,053-668-2482,대구광역시 달성군청,2019-09-10,3480000,대구광역시 달성군
,,,,,,,운일암반일암 야영장,야영장,35.975537,127.414447,전라북도 진안군 주천면 동상주천로 1996-10,전라북도 진안군 주천면 주양리 612,063-430-2554,21,12467,,,,,,,,,,,,,,,84,200,화장실 2동+취사시설 2동+샤워실 2동,확성기+대피공간,,제한없음,무료,063-430-2554,전라북도 진안군청,2020-06-02,4730000,전라북도 진안군
,,,,,,,운장산 자연휴양림,야영장,35.8884589528,127.4327884945,전라북도 진안군 정천면 휴양림길 77,전라북도 진안군 정천면 갈용리 산183,063-432-1193,20,19580340,1457.07,,,,,,,,,,,,,,600,954,화장실5동+샤워실1동+취사시설1동,확성기+대피공간,,1일,4500,063-432-1193,국립자연휴양림관리소,2020-06-02,4730000,전라북도 진안군
,,,,,,,별빛두레캠핑장,야영장,35.8552275261,127.427918,전라북도 진안군 부귀면 석원로 24,전라북도 진안군 부귀면 두남리 26,063-432-6067,10,2213,431.58,,,,,,,,,,,,,,100,40,화장실 2동+취사시설 1동+샤워실 2동,확성기+대피공간,,1일,30000,063-430-2502,개인,2020-06-02,4730000,전라북도 진안군
,,,,,,,섬바위오토캠핑장,야영장,35.9525229922,127.5281078,전라북도 진안군 안천면 안용로 832-23,전라북도 진안군 안천면 삼락리 1155,063-433-7737,48,20017,232.32,,,,,,,,,,,,,,200,40,화장실3동+샤워실1동+취사시설1동,확성기+대피공간,,1일,40000,063-430-2502,개인,2020-06-02,4730000,전라북도 진안군
,,,,,,,진안 국제캠핑장,야영장,35.965527,127.4611369088,전라북도 진안군 용담면 와룡길 165-6,전라북도 진안군 용담면 와룡리 74-1,063-433-1471,45,3619,188.89,,,,,,,,,,,,,,150,50,화장실2동+샤워실1동+취사시설1동,확성기+대피공간,,1일,41000,063-430-2502,개인,2020-06-02,4730000,전라북도 진안군
,,,,,,,마이산 풍혈냉천 캠핑장,야영장,35.721017,127.302326,,전라북도 진안군 성수면 용포리 산217,063-432-1183,35,4770,72.22,,,,,,,,,,,,,,90,60,화장실2동+샤워실2동+취사장1동,확성기+대피공간,,1일,40000,063-430-2502,개인,2020-06-02,4730000,전라북도 진안군
,,,,,,,마령 큰시내들 캠핑장,자동차야영장,35.73971524,127.3436643,전라북도 진안군 마령면 관마로 1248-1,전라북도 진안군 마령면 강정리 655-2,063-433-9442,35,7460,99,,,,,,,,,,,,,,120,100,화장실2동+샤워장2동+취사장1동,확성기+대피공간,수영장,1일,"자동차 야영장 1일 40,000원 ,글램핑1일 150,000원",063-430-2502,개인,2020-06-02,4730000,전라북도 진안군
,,,,,,,부귀농원 가족캠프 캠핑장,야영장,35.8489904091,127.421999,전라북도 진안군 부귀면 귀상로 708-33,전라북도 진안군 부귀면 두남리 88,000-0000-0000,21,4077,168,,,,,,,,,,,,,,84,50,화장실2동+샤워장2동+취사장1동,확성기+대피공간,,1일,40000,063-430-2502,개인,2020-06-02,4730000,전라북도 진안군
,,,,,,,용담댐 오토캠핑장,야영장,35.9367012678,127.529762,전라북도 진안군 안천면 안용로 539,전라북도 진안군 안천면 삼락리 1058-2,000-0000-0000,4,2079,309.85,,,,,,,,,,,,,,20,6,화장실4동+샤워장4동+취사장4동,확성기+대피공간,,1일,"카라반 1일 80,000원, 일반 40,000원",063-430-2502,개인,2020-06-02,4730000,전라북도 진안군
,,,,,,,숲속캠핑장,야영장,35.8529311446,127.4299783120,전라북도 진안군 부귀면 귀상로 792-23,전라북도 진안군 부귀면 두남리 32-5,000-0000-0000,10,4892,437.46,,,,,,,,,,,,,,50,60,화장실2동+샤워장2동+취사장1동,확성기+대피공간,,1일,40000,063-430-2502,개인,2020-06-02,4730000,전라북도 진안군
,,,,,,,산장펜션 캠핑장,야영장,35.72144964,129.0691092,경상북도 경주시 산내면 대현길 132,경상북도 경주시 산내면 대현리 479,054-751-6602,10,2690,297,,,,,,,,,,,,,,40,,화장실 등,소화기 등,,,,054-779-6083,경상북도 경주시청,2019-09-21,5050000,경상북도 경주시
,,,,,,,반딧불이 캠핑장,야영장,35.7128499529,129.0737816863,,경상북도 경주시 산내면 대현리 195-1,000-0000-0000,12,2221,291,,,,,,,,,,,,,,48,,화장실 등,소화기 등,,,,054-779-6083,경상북도 경주시청,2019-09-21,5050000,경상북도 경주시
,,,,,,,경주인동야영장,야영장,35.98831657,129.2632138414,경상북도 경주시 강동면 인좌안길 32-33,경상북도 경주시 강동면 인동리 425-7,000-0000-0000,15,1582,398,,,,,,,,,,,,,,60,,화장실 등,소화기 등,,,,054-779-6083,경상북도 경주시청,2019-09-21,5050000,경상북도 경주시
,,,,,,,문복산캠핑장,야영장,35.66052302,129.051475,경상북도 경주시 산내면 문복로 333-199,경상북도 경주시 산내면 대현리 2747-273,000-0000-0000,21,6634,731,,,,,,,,,,,,,,84,,화장실 등,소화기 등,,,,054-779-6083,경상북도 경주시청,2019-09-21,5050000,경상북도 경주시
,,,,,,,달빛고운병곡캠핑장,야영장,35.8092065,127.7754673,경상남도 거창군 북상면 병곡길 447-11,,055-943-4096,40,4653,436,,,,,,,,,,,,,,160,,"전기시설, 상하수도시설,샤워실","소화기, 대피공간",,1일 14:00~ 2일13:00,,055-940-3422,거창군,2019-06-05,6480000,경상남도
,,,,,,,수승대 오토캠핑장,자동차야영장,35.7610682,127.8335222,경상남도 거창군 위천면 은하리길 2,,055-940-8532,15,3599,95,,,,,,,,,,,,,,60,15,"전기시설, 상하수도시설,샤워실","소화기, 대피공간",,1일 14:00~ 2일13:00,,055-940-3422,거창군,2019-06-05,6480000,경상남도
,,,,,,,수승대야영장,야영장,35.7583321,127.8305399,경상남도 거창군 위천면 은하리길 43-101,,055-940-8532,84,2586,414,,,,,,,,,,,,,,336,,"전기시설, 상하수도시설,샤워실","소화기, 대피공간",,1일 14:00~ 2일13:00,,055-940-3422,거창군,2019-06-05,6480000,경상남도
,,,,,,,자연속캠핑장,야영장,35.68197867,128.978369,,경상북도 청도군 운문면 신원리 518-1번지,054-372-4558,14,2956,13215,,,,,,,,,,,,,,50,,화장실+샤워실+취사시설,소화기,,,,054-370-2378,경상북도 청도군청,2019-05-15,5190000,경상북도 청도군
,,,,,,,양지생태마을캠핑장,야영장,35.6951254,127.8605163,경상남도 거창군 마리면 진산길 157,,000-000-0000,52,2450,165,,,,,,,,,,,,,,208,,"전기시설, 상하수도시설,샤워실","소화기, 대피공간",,1일 14:00~ 2일13:00,,055-940-3422,거창군,2019-06-05,6480000,경상남도
,,,,,,,주은 자연휴양림,야영장,35.7647049,127.7643563,경상남도 거창군 북상면 덕유월성로 1642,,000-000-0000,24,770,240,,,,,,,,,,,,,,96,,"전기시설, 상하수도시설,샤워실","소화기, 대피공간",,1일 14:00~ 2일13:00,,055-940-3422,거창군,2019-06-05,6480000,경상남도
,,,,,,,거창 국민여가캠핑장,자동차야영장,35.7608467,127.7242826,경상남도 거창군 북상면 덕유월성로 1312-96,,070-4618-3525,14,9960,755.47,,,,,,,,,,,,,,56,14,"전기시설, 상하수도시설,샤워실","소화기, 대피공간",,1일 14:00~ 2일13:00,,055-940-3422,거창군,2019-06-05,6480000,경상남도
,,,,,,,산중오토캠핑장,야영장,35.825398,127.802348,경상남도 거창군 북상면 송계사길 63-107,경상남도 거창군 북상면 송계사길 63-107,000-000-0000,10,2489,123.2,,,,,,,,,,,,,,40,,"전기시설, 상하수도시설,샤워실","소화기, 대피공간",,1일 14:00~ 2일13:00,,055-940-3422,거창군,2019-06-05,6480000,경상남도
,,,,,,,월성오토캠핑장,자동차야영장,35.7640385,127.7589584,경상남도 거창군 북상면 덕유월성로 1588-9,,000-000-0000,6,985,97.4,,,,,,,,,,,,,,24,6,"전기시설, 상하수도시설,샤워실","소화기, 대피공간",,1일 14:00~ 2일13:00,,055-940-3422,거창군,2019-06-05,6480000,경상남도
,,,,,,,휴일엔캠핑,야영장,35.79183068,127.7889695,경상남도 거창군 북상면 병곡길 187,,000-000-0000,4,995,98.6,,,,,,,,,,,,,,16,,"전기시설, 상하수도시설,샤워실","소화기, 대피공간",,1일 14:00~ 2일13:00,,055-940-3422,거창군,2019-06-05,6480000,경상남도
