거리명,거리소개,소재지도로명,소재지지번주소,위도,경도,총길이,점포수,지정연도,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
중부건어물,중동지역 건어물 판매상이 밀집,대전광역시 동구 813번길 53,대전광역시 동구 중동 30-3,36.3312936449,127.4292642797,110,58,2002,042-251-4613,대전 동구청 일자리경제과 시장활성화,2021-12-17,3640000,대전광역시 동구
건대로데오거리,유명 의류 상설할인매장 및 일반상점가가 밀집되어 있는 젊은 패션 문화의 거리,서울특별시 광진구 동일로20길,,37.53963156,127.0695303,610,60,2000,02-450-7315,서울특별시 광진구청,2022-01-24,3040000,서울특별시 광진구
중곡동가구거리,"혼수용가구, 공예가구, 나전칠기, 주방가구, 사무용가구, 수입가구 등 다양한 가구가 밀집되어 있는 서울의 대표 가구거리",서울특별시 광진구 천호대로(군자교에서 어린이대공원 후문),,37.55647745,127.0809738,1400,40,1995,02-450-7315,서울특별시 광진구청,2022-01-24,3040000,서울특별시 광진구
구의역미가로,일반음식점 및 휴게음식점,서울특별시 광진구 자양로18길,,37.537912,127.085795,600,208,1995,02-450-7315,서울특별시 광진구청,2022-01-24,3040000,서울특별시 광진구
건대양꼬치거리,일반음식점 및 휴게음식점,서울특별시 광진구 동일로18길,,37.538064,127.068975,550,75,1995,02-450-7315,서울특별시 광진구청,2022-01-24,3040000,서울특별시 광진구
방어축제거리,국토 최남단 방어축제특화거리는 맑고 깨끗한 모슬포 지역에서 생산되는 농산물과 마라도. 가파도 청정해역에서 잡히는 자연산 활어와 해산물을 사계절 내내 만날 수 있는 거리이다.,제주특별자치도 서귀포시 대정읍 신영로72번길 14,,33.2197338,126.2511799,250,47,2011,064-710-3078,제주특별자치도 소상공인기업과,2021-06-24,6520000,제주특별자치도 서귀포시
칠십리음식특화거리,서귀포의 칠십리 해안을 따라 조성된 음식특화거리로서. 청정 제주 바닷가에서 갓 낚아 올린 싱싱한 재료로 만든 제주의 향토음식을 만나 볼 수 있는 곳이다.,제주특별자치도 서귀포시 칠십리로 119,,33.2427423,126.5673082,1700,38,2008,064-710-3078,제주특별자치도 소상공인기업과,2021-06-24,6520000,제주특별자치도 서귀포시
솔동산문화의거리,"지역문화와 관광객 유치를 위해 가로등, 간판, 공원, 공연무대 등 도로 및 문화시설물을 정비 확충하여 가장 걷고 싶게 조성된 거리이다",제주특별자치도 서귀포시 솔동산로 2,,33.2445943,126.5641816,900,30,2009,064-760-2480,서귀포시 문화예술과,2021-06-24,6520000,제주특별자치도 서귀포시
생선회 특화지역,세계최대규모의 횟집 및 생선회 취급업소가 밀집한 민락횟촌,부산광역시 수영구 광안해변로~민락수변로 일원,,35.156926,129.126241,500,130,2011,051-610-4404,부산광역시 수영구청,2021-05-26,3380000,부산광역시 수영구
서문가구특화거리,다양한 브랜드의 가구판매장과. 주문제작공장. 가구수리점 등이 자리잡고 있는 도내 최대의 가구상권거리이다.,제주특별자치도 제주시 서문로 38-1,,33.5105169,126.5155358,250,23,2014,064-710-3076,제주특별자치도 경제일자리정책과,2021-06-15,6500000,제주특별자치도
천지동 아랑조을거리,아랑조을거리는 알아서 좋을 거리 라는 뜻의 제주어로. 2013년 농림축산식품부 지정 우수외식업지구에 포함된 맛집특화거리이다.,제주특별자치도 서귀포시 중앙로 47번길 10,,33.2487319,126.5606428,700,63,2005,064-710-3076,제주특별자치도 경제일자리정책과,2021-06-15,6500000,제주특별자치도
명동로/이중섭거리,많은 작품을 남긴 비운의 천재 이중섭 화백의 기념 미술관이 있는 거리이다.,제주특별자치도 서귀포시 명동로 19,,33.2474463,126.5639289,1000,200,1996,064-710-3076,제주특별자치도 경제일자리정책과,2021-06-15,6500000,제주특별자치도
방어축제거리,국토 최남단 방어축제특화거리는 맑고 깨끗한 모슬포 지역에서 생산되는 농산물과 마라도. 가파도 청정해역에서 잡히는 자연산 활어와 해산물을 사계절 내내 만날 수 있는 거리이다.,제주특별자치도 서귀포시 대정읍 신영로72번길 14,,33.2197338,126.2511799,250,47,2011,064-710-3076,제주특별자치도 경제일자리정책과,2021-06-15,6500000,제주특별자치도
흑돼지거리,30년의 오랜 전통을 자랑하고 있는 제주별미 흑돼지거리로. 인근에는 동문시장. 칠성로상점가 등이 있어 관광객들에게 인기가 많은 곳이다.,제주특별자치도 제주시 관덕로15길 26,,33.5155238,126.526964,200,9,2009,064-710-3076,제주특별자치도 경제일자리정책과,2021-06-15,6500000,제주특별자치도
칠십리음식특화거리,서귀포의 칠십리 해안을 따라 조성된 음식특화거리로서. 청정 제주 바닷가에서 갓 낚아 올린 싱싱한 재료로 만든 제주의 향토음식을 만나 볼 수 있는 곳이다.,제주특별자치도 서귀포시 칠십리로 119,,33.2427423,126.5673082,1700,38,2008,064-710-3076,제주특별자치도 경제일자리정책과,2021-06-15,6500000,제주특별자치도
국수문화거리,국수문화거리는 제주의 전통음식인 고기국수를 맛볼수 있는 특색있는 음식특화거리로서. 도민 및 관광객들에 오랫동안 사랑받아온 곳이다.,제주특별자치도 제주시 신산로 91,,33.5058163,126.535489,1000,9,2009,064-710-3076,제주특별자치도 경제일자리정책과,2021-06-15,6500000,제주특별자치도
누웨마루거리,제주의 관문이자 글로벌 관광명소인 연동에 위치한 차 없는 거리로 다양한 문화컨텐츠와 연계한 쇼핑특화거리이다.,제주특별자치도 제주시 연동7길 31,,33.4870442,126.4908404,450,148,2009,064-710-3076,제주특별자치도 경제일자리정책과,2021-06-15,6500000,제주특별자치도
서부두 명품횟집거리,제주도에서 가장 오래된 횟집거리로서. 공항에서 15분거리에 위치하여 접근이 용이하며 사시사철 신선한 횟감과 친절한 상인들을 만날수 있는 곳이다.,제주특별자치도 제주시 서부두길 16,,33.5176714,126.528338,250,16,2008,064-710-3076,제주특별자치도 경제일자리정책과,2021-06-15,6500000,제주특별자치도
진평음식특화거리,젊은층의 독특한 문화와 음식이 있는 거리 조성으로 관광 인프라 및 지역경제 활성화기여,경상북도 구미시 인동28길 20 일원,경상북도 구미시 진평동 79-4,36.094781,128.427982,480,60,2015,054-480-5542,경상북도 구미시청,2021-06-15,5080000,경상북도 구미시
북성공구골목,"국산공구가 생산되지 않던 1947년경 지금의 인교동 달성공원 입구 골목(당시 푸른다리)에서 미군부대로부터 불하된 폐공구를 수집하던 11명이 영업을 시작하게 된 것이 시초가 되었고, 기계공업의 발달로 관련업소가 계속 늘어나 집단상가를 이루면서 오늘날의 공구골목이 형성되었습니다. 현재 400여개의 업체가 각종 산업용 공구를 판매하고 있으며 공구골목의 역사와 애환을 담은 북성로공구박물관이 개관되었습니다.",대구광역시 중구 북성로2가 북성로 65-2,대구광역시 중구 북성로2가 61,35.87406657,128.5895968,1150,420,2011,053-661-2647,대구광역시 중구청,2021-07-09,3410000,대구광역시 중구
약전골목,"남성로 중앙치안센터 맞은편에는 170여개의 한약방과 한의원이 즐비하게 늘어서 있습니다. 도로를 따라 600여미터나 이어지는 이 약전골목은 조선시대(효종9년,1658년)에 개설된 약령시에 기원을 두고 있습니다. 대구는 약재의 본산지인 경상도를 배후에 두고 낙동강을 통한 운송도 수월하여 약령시가 자연스럽게 형성되었습니다. 조선시대 대구 약령시는 약재 수확기인 봄, 가을에 맞추어 한해에 두 번씩 열렸는데 성시를 이룰 때는 대구인구보다 약령시 출시자가 많을 정도였다고 합니다. 그러나 서양의 양약이 보급되고 일제의 탄압정책이 가중되면서 약령시는 점차 쇠퇴의 길로 들어서고 현재 자리에 약전골목이 조성되어 맥을 잇고 있습니다. 근래 들어 한약에 대한 일반인의 관심이 높아지면서 약전골목은 옛 명성을 회복하고 있고, 매년 5월의 약령시축제와 2003년 한방특구 지정, 약령시한의약박물관 건립으로 새롭게 활기를 띄고 있습니다. 약령시회관 2층의 약령시전시관에서는 인삼,산삼,녹용,해마 등 각종 한약재를 비롯하여 [동의보감], [동의수세보원] 등의 한의서와 약연,약작두 등의 한방기구 등 한방관련용품 300여 점이 전시되어 있습니다.",대구광역시 중구 남성로 남성로 25,대구광역시 중구 남성로 51-6,35.86807041,128.5896956,630,183,2011,053-661-2647,대구광역시 중구청,2021-07-09,3410000,대구광역시 중구
진영 패션 아울렛 거리,아웃도어 판매 특성화 거리,경상남도 김해시 진영읍 진산대로 일원,경상남도 김해시 진영읍 진영리 737,35.3216120181,128.7138545719,2000,64,2018,055-330-3414,김해시청 지역경제과,2021-10-15,5350000,경상남도 김해시
40계단문화관광테마거리,6.25피난민들의 애환이 살아있는 40계단주변 테마거리,부산광역시 중구 중앙동4가 27,,35.1039176,129.0324054,1697,65,2002,051-600-4042,부산광역시 중구청,2021-10-18,3250000,부산광역시 중구
영화의거리,121년의 역사를 가진 부산영화의 메카로서 부산국제영화제가 탄생한 영화거리(BIFF광장 일원),부산광역시 중구 남포동6가 85,,35.098738,129.027566,400,100,1996,051-600-4062,부산광역시 중구청,2021-10-18,3250000,부산광역시 중구
보수동책방골목거리,6.25피난시절 자연발생한국내 유일의 헌책방 테마거리,부산광역시 중구 보수동1가 119,,35.103456,129.026533,350,50,2009,051-600-4062,부산광역시 중구청,2021-10-18,3250000,부산광역시 중구
엔터테이너 거리,"광복동, 남포동 뒷골목 문화예술인들의 스토리와 엔터테이너들의 추억담을 들을 수 있는 테마거리",부산광역시 중구 남포길/구덕로14번길,,35.098512,129.032231,630,100,2017,051-600-4086,부산광역시 중구청,2021-10-18,3250000,부산광역시 중구
청산생선국수음식거리,청정지역에서 서식하는 민물고기를 이용한 생선국수와 도리뱅뱅이 등을 맛 볼 수 있는 음식거리,"충청북도 옥천군 청산면 지전길, 남부로 일원",,36.3447472,127.789367,567,7,2018,043-730-3423,충청북도 옥천군청,2021-10-19,4430000,충청북도 옥천군
더리미장어마을,지역 특색을 살린 음식 개발 육성하고 및 보급의 확산을 통하여 지역경제 발전 이바지,인천광역시 강화군 선원면 신정리일원,,37.726852,126.507941,200,6,2000,032-930-3832,강화군청 환경위생과 위생팀,2020-09-18,3570000,인천광역시 강화군
계양맛길 음식문화시범거리,"계양맛길에는 한식,일식,중식 등 각종 음식점이 밀집해 있어 입맛따라 메뉴를 선택할 수 있습니다. 맛길주변에 미래광장과 공원이 있어 맛있는 음식을 먹은 후 산책을 해도 좋습니다.",인천광역시 계양구 오조산로,인천광역시 계양구 계산동 1102,37.53437317,126.737461,1440,135,2008,032-450-5424,인천광역시 계양구,2021-04-19,3550000,인천광역시 계양구
용종마을 음식문화시범거리,"용종마을은 소문난 맛집이 많고, 웰빙 위주의 깔끔한 식단으로 가족 단위의 외식장소로 많은 사랑을 받고 있습니다.",인천광역시 계양구 용마루길,인천광역시 계양구 용종동 219-6,37.5421825,126.7446189,2610,21,2010,032-450-5424,인천광역시 계양구,2021-04-19,3550000,인천광역시 계양구
무로거리,내외동 식당 밀집 지역 특성화 거리,경상남도 김해시 함박로 119번길 일원 (내외동),경상남도 김해시 내동 1162,35.2356971222,128.867470,260,112,2018,055-330-3414,김해시청 지역경제과,2021-10-15,5350000,경상남도 김해시
마지리벽화마을,말과 소로 대표되는 마을의 특성을 벽화로 표현,"경기도 파주시 적성면 솥뒤로 37번길, 57번길 일대","경기도 파주시 적성면 마지리 39번지, 172번지 일대",37.9541803,126.9184111,276,0,2015,031-940-8184,경기도 파주시 적성면,2021-04-15,4060000,경기도 파주시
광양불고기 특화거리,광양숯불구이 축제가 열리는 서천변 일대 특화거리,전라남도 광양시 광양읍 칠성리 967,전라남도 광양시 광양읍 칠성리 967,34.96920811,127.579099,792,30,2010,061-797-3799,전라남도 광양시,2021-04-02,4840000,전라남도 광양시
이순신대교 먹거리타운,이순신 대교 일대의 먹거리 타운,전라남도 광양시 중동 1798,전라남도 광양시 중동 1798,34.93446182,127.6999269,624,150,2012,061-797-3799,전라남도 광양시,2021-04-02,4840000,전라남도 광양시
진월망덕포구 먹거리타운,광양전어 축제가 열리는 망덕 포구 일대의 먹거리 타운,전라남도 광양시 진월면 망덕리 845-82,전라남도 광양시 진월면 망덕리 845-82,34.96842565,127.7587807,1417,39,2014,061-797-3799,전라남도 광양시,2021-04-02,4840000,전라남도 광양시
연제평생학습특화거리,배움을 공유하고 많은 지식을 얻을 수 있는 연제구 평생학습 특화거리,부산광역시 연제구 아시아드대로 22번길,,35.187395,129.070151,240,11,2013,051-665-4504,부산광역시 연제구청,2021-05-24,3370000,부산광역시 연제구
맛고을길,서구청 후문을 중심으로 형성된 음식문화 시범거리,인천광역시 서구 탁옥로33번길 16,인천광역시 서구 심곡동 243,37.54549877,126.6735500,160,42,2005,032-560-4322,인천광역시 서구 위생과,2021-07-29,3560000,인천광역시 서구
검단먹거리타운,검단사거리역을 중심으로 형성된 음식문화 시범거리,인천 서구 완정로 191,인천 서구 왕길동 635-4,37.60265213,126.6550685,230,83,2007,032-560-4322,인천광역시 서구 위생과,2021-07-29,3560000,인천광역시 서구
덕산떡전골목,"1940년경 염매시장에서 물물교환 등 노점시장으로 시작하여 6.25동란 이후 피난민들이 모여들면서 골목이 형성되었으며 처음에는 인근 상인들을 대상으로 한 떡행상으로 출발하였으나, 현재에는 혼수용/제수용 등 전문떡집 10여 업소가 영업중에 있습니다.",-,대구광역시 중구 계산동2가 263-5,35.86654706,128.592278,260,7,2011,053-661-2647,대구광역시 중구청,2021-07-09,3410000,대구광역시 중구
동인찜갈비골목,"1960년대 중반 현 동인동 골목일대에 술안주와 식사용으로 소갈비에 마늘과 고춧가루를 넣어 연탄불에 양재기로 찜을 해 요리하는 것이 점차 호응을 얻어 한집 두집 개업하고 확장하여 현재의 찜갈비 골목으로 자리매김 하였다. 동인동 찜갈비는 대구 특유의 매운맛이 살아있는 전통 음식이기도 하다. 2003 대구하계유니버시아드 대회 이후 더욱 널리 알려지면서, 현재 전국 각지에서 동인동 찜갈비를 맛보기 위해 대구를 찾는 발걸음이 늘고 있다. 갈비하면 일반적으로 간장 양념을 떠올리게 되는데, 동인동찜갈비의 특성은 고춧가루와 마늘을 이용하여 매콤 달콤한 붉은 양념으로 소비자의 입맛을 신선하게 자극한다. 질기지 않고 부드럽게 씹히는 고기맛과 마지막 남은 양념에 비벼먹는 밥맛이 일품이다. 동인동찜갈비만의 매력은 찜갈비를 담는 용기에서도 찾아볼 수 있다. 현대인들에게 익숙한 세련된 용기 대신 6,70년대에 쓰던 노란색 찌그러진 양은 그릇이 밥상 위에 올라오는데, 이는 먹는 재미와 동시에 구수한 고향냄새까지 느낄 수 있으며 빠른시간에 조리가 되어 신선도가 좋은 찜갈비로 내·외국인 모두에게 각광받고 있는 음식으로 자리매김 하였다. 마늘과 생강 범벅인 양념을 처음 본 외지인들은 지레 겁을 먹지만, 한번 맛본 사람들은 그 특유의 맛에 빠져들어 다시 찾게 되는 음식이다. 느끼하지 않고 칼칼하고 개운한 맛으로 현재 대구 맛의 명소로 자리 잡았으며 매출액의 일부를 정기적으로 기부하여 「착한골목 1호」로 지정되었다.",대구광역시 중구 동인동1가 동덕로36길 9-17,대구광역시 중구 동인동1가 297-2,35.87123339,128.6049435,90,9,2011,053-661-2647,대구광역시 중구청,2021-07-09,3410000,대구광역시 중구
봉산문화거리,"봉산문화거리는 서울 인사동거리에 비견되는 대구의 대표적인 문화예술거리입니다. 1980년대 중반부터 형성되기 시작한 이 거리는 현재 50여개의 화랑, 화방, 골동품점, 표구사 등이 들어서 있습니다. 초기에는 미술관련재료 판매, 표구 제작, 동양화 판매 위주였으나, 현재는 여러 화랑에서 다양한 미술작품을 전시,판매도 하고 있어서, 대구를 대표하는 화가들의 작품들을 이곳에서 구경할 수 있습니다. 대구시민의 문화적 욕구를 충족시키기 위해 매년 4월에는 봉산공예디자인전이 개최되고, 10월에는 봉산미술제가 개최되고 있습니다. 또한 2004년에는 봉산문화회관 바로가기 이 건립되어 각종 전시회 및 공연을 개최하여 봉산문화거리 활성화에 노력하고 있습니다.",대구광역시 중구 봉산문화길 49,대구광역시 중구 봉산동 225-5,35.8620968,128.5976023,630,92,2011,053-661-2647,대구광역시 중구청,2021-07-09,3410000,대구광역시 중구
광릉숲음식문화특화테마거리,"능안마을은 오랜 역사를 가진 집성촌이 아닌 6.25 전쟁이후 형성된 마을로 향토음식을 기반으로 16개의 업소가 영업중에 있으며, 인근에는 969년(광종 20)창건된 봉선사와 국립수목원과 광릉 및 크낙새서식지 등 관광자원이 풍부한 지역임",경기도 남양주시 진접읍 광릉수목원로 179-19,경기도 남양주시 진접읍 부평리 258-49,37.7471111775,127.1874488699,480,14,2015,031-590-2237,남양주시청 위생과,2021-09-30,3990000,경기도 남양주시
학익법조타운먹거리촌,미추홀구특색음식거리,인천광역시 미추홀구 소성로185번길 23,인천광역시 미추홀구 학익동 240-38,37.4421787246,126.6692965058,500,63,2004,032-880-7998,인천광역시 미추홀구청,2021-05-21,3510500,인천광역시 미추홀구
용현동물텀벙이거리,미추홀구특색음식거리,인천광역시 미추홀구 독배로 403,인천광역시 미추홀구 용현동 509-166,37.4558495322,126.6494947784,100,4,2002,032-880-7998,인천광역시 미추홀구청,2021-05-21,3510500,인천광역시 미추홀구
석바위음식거리,미추홀구특색음식거리,인천광역시 미추홀구 석바위로 148-1,인천광역시 미추홀구 주안동 989-2,37.4596636640,126.6892625052,500,38,2013,032-880-7998,인천광역시 미추홀구청,2021-05-21,3510500,인천광역시 미추홀구
노량진 컵밥거리,"노점으로 인한 보행불편, 위생, 안전 등 다양한 문제해결을 위해 좁은 보도에 밀집한 노점들을 보도공간이 넓은 곳으로 이전하여 ‘거리가게 특화거리’ 조성",서울특별시 동작구 노량진로 178,서울특별시 동작구 노량진동 148-88,37.51340778,126.9456937,92,26,2015,02-820-9152,동작구청,2021-07-05,3190000,서울특별시 동작구
인사동 골동품거리,"우리 민속품을 포함한 문화재 등의 매매거리로,볼거리가 많은 진주의 관광명소로 부각되고 있는 거리",경상남도 진주시 남강로 625번길 1-1 ~ 경상남도 진주시 서장대로 407번길 15,,35.190738,128.079921,600,22,2000,055-749-8579,경상남도 진주시청,2021-07-01,5310000,경상남도 진주시
남가람 문화거리,"역사, 문화, 예술도시인 진주의 전통과 독특한 문화적 개성을 지닌 도심속의 문화, 휴식공간",경상남도 진주시 강남로,"경상남도 진주시 칠암동 201-1,201-5",35.18539245,128.0945485,130,0,1992,055-749-3663,경상남도 진주시청,2021-07-01,5310000,경상남도 진주시
깔깔거리,구로디지털단지가 인접한 음식문화 특화거리,"서울특별시 구로구 디지털로32길, 디지털로32나길 일대",서울특별시 구로구 구로동 1124-7 (인근),37.48467876,126.901211,410,150,2009,02-860-3233,서울특별시 구로구청,2021-06-28,3160000,서울특별시 구로구
명품가로공원,"도심 속 일상생활에서 접할 수 있는 다양한 수목과 초화, 수경시설을 만날 수 있는 쉼터",부산광역시 사상구 광장로,부산광역시 사상구 괘법동 572-18,35.16279397,128.9811407,700,12,2013,051-310-4536,부산광역시 사상구청,2021-06-24,3390000,부산광역시 사상구
천지동 아랑조을거리,아랑조을거리는 알아서 좋을 거리 라는 뜻의 제주어로. 2013년 농림축산식품부 지정 우수외식업지구에 포함된 맛집특화거리이다.,제주특별자치도 서귀포시 중앙로 47번길 10,,33.2487319,126.5606428,700,63,2005,064-710-3078,제주특별자치도 소상공인기업과,2021-06-24,6520000,제주특별자치도 서귀포시
명동로/이중섭거리,많은 작품을 남긴 비운의 천재 이중섭 화백의 기념 미술관이 있는 거리이다.,제주특별자치도 서귀포시 명동로 19,,33.2474463,126.5639289,1000,200,1996,064-710-3078,제주특별자치도 소상공인기업과,2021-06-24,6520000,제주특별자치도 서귀포시
문화의거리,문화의거리,경상북도 문경시 중앙8길,경상북도 문경시 점촌동 268-46번지,,,350,60,2013,054-550-6363,도시과,2020-11-02,5120000,경상북도 문경시
평촌일번가 문화의거리,60-70년대 동양 최대의 영화촬영소가 있었던 곳으로 상시공연이 가능한 문화공간,경기도 안양시 동안구 평촌대로 223번길,,37.3907562,126.9534327,357,0,2003,031-8045-2062,경기도 안양시,2021-08-06,3830000,경기도 안양시
소설 태백산맥 문학기행길,"소설 ''태백산맥''의 배경지인 벌교읍 소재지를 무대로 소설 속 등장하는 적산가옥, 중도방죽 등으로 구성된 문학기행 길",전라남도 보성군 벌교읍 태백산맥길 19,전라남도 보성군 벌교읍 벌교리 640-2,34.8439097,127.3432884,8000,13,2012,061-850-5211,전라남도 보성군청 문화관광과,2021-07-14,4890000,전라남도 보성군
교동귀금속골목,"1970년 대구역 남편 교동시장을 중심으로 한 시계매장들로부터 시작되었습니다. 하나 둘 모여든 업체는 당시 인기품목이었던 시계의 판매수리와 중고제품 판매를 중심으로 상권을 형성하였고, 1970년대 중반부터는 순금, 18K 공장들이 하나씩 자리잡기 시작하여 1980년대에 이르러서는 귀금속거리로 면모를 갖추기 시작하였습니다. 현대화된 시설과 전문화된 상품을 갖추어 대구 귀금속 도·소매상가로 형성되어 현재 300여개의 업체가 영업중이다. 2005년 패션주얼리특구 지정에 이어 2011년에는 패션주얼리 전문타운이 개관 함으로써 주얼리 산업의 메카로 떠오르고 있습니다.",-,대구광역시 중구 용덕동 12,35.873839041,128.597237431,180,350,2011,053-661-2647,대구광역시 중구청,2021-07-09,3410000,대구광역시 중구
교동전자골목,"교동시장 내 핵심상가로서 (구)동성로파출소에서 신한은행(대구중앙지점)으로 이어지는 골목을 중심으로  전자제품 판매업소가 즐비하게 들어서 있습니다. 이 곳에서는 컴퓨터와 주변기기, 그리고 텔레비전, 오디오 등의 영상,음향기기 등 각종 전기전자제품을 저렴한 가격에 판매하고 있어 일반시민들이 많이 찾고 있습니다. 또한 인근에는 오래된 분식점이 많이 있어서 먹을거리의 추억을 되살릴 수 있습니다.",-,대구광역시 중구 교동 79-1,35.87335688,128.5978339,260,127,2011,053-661-2647,대구광역시 중구청,2021-07-09,3410000,대구광역시 중구
남산인쇄골목,남산동 남문시장에서 계산오거리까지의 500여미터 남짓한 거리에는 각종 인쇄소와 기획사가 빽빽히 밀집해 있습니다. 인쇄골목은 1980년대초부터 서서히 형성되기 시작하여 1990년대 들어 급속한 팽창을 보였으며 현재 500여개의 업체가 영업중에 있습니다.,대구광역시 중구 명륜로6길 7-24,대구광역시 중구 남산동 247-12,35.86336136,128.5888875,500,520,2011,053-661-2647,대구광역시 중구청,2021-07-09,3410000,대구광역시 중구
남산자동차부속골목,"1968년경부터 명덕네거리 주변에 자동차 중고 부속상이 생겨나서 부속품판매 및 자동차수리를 하였으며 1978년 도로가 확장 개통되면서 남문시장에서 명덕네거리 일원의 골목을 중심으로 자동차 관련 점포들이 모여들어 오늘날의 상가가 형성되었습니다. 현재는 80여개의 업소가 오디오, 타이어, 에어컨, 시트카바, 썬팅, 기타 자동차부속품 판매와 자동차 수리를 하고 있어 자동차에 대한 원스톱서비스가 가능한 곳이라 할 수 있습니다. 2010년부터 매년 스트리트 모터 페스티벌이 개최되고 있으며 축제기간 중에는 세계의 명차들을 한 자리에서 만날 수 있습니다.",대구광역시 중구 명덕로35길 70,대구광역시 중구 남산동 596-7,35.85975833,128.5893663,550,88,2011,053-661-2647,대구광역시 중구청,2021-07-09,3410000,대구광역시 중구
대신미싱골목,1970년대 서문시장과 달성공원 사이 황폐한 골목으로 지가가 싸서 임대료 부담이 적어 일부 사업자가 이주하여 영업해 왔으며 1980년대부터 한집 두집 모이기 시작하여 1980~90년대에는 섬유경기활황과 어울려 전성기를 이루었습니다. 현재는 40여 업소가 영업중에 있습니다.,대구광역시 중구 국채보상로93길 35,대구광역시 중구 대신동 64-25,35.87219301,128.5807448,200,49,2011,053-661-2647,대구광역시 중구청,2021-07-09,3410000,대구광역시 중구
대신양말골목,1980년대 원일상회 박정원씨가 최초로 양말소매상을 경영하였고 그 후부터 상인들이 모이기 시작하여 현재의 양말골목으로 형성되어 왔습니다. 계성초등학교 입구의 좁은 골목 양쪽으로 영업하고 있는 이 업소들은 다양한 양말을 저렴한 가격으로 판매하고 있습니다.,대구광역시 중구 달구벌대로 1991-11,대구광역시 중구 대신동 993,35.86546587,128.5819494,260,23,2011,053-661-2647,대구광역시 중구청,2021-07-09,3410000,대구광역시 중구
예술의 거리,"호남문화와 예술의 중심지인 예향 광주의 전통을 계승 발전시키기 위해 조성됨. 서화, 도자기, 공예품 등 이 지방 예술의 상징적 작품을 집산하여 전시, 판매하고 있으며, 한국화, 서예, 남도창을 중심으로 한 남도예술의 진수를 누구나 손쉽게 접할 수 있는 명소",광주광역시 동구 예술길 24 (궁동),광주광역시 동구 궁동 52-2,35.149768,126.918601,300,90,1987,062-224-0323,광주광역시 동구청,2022-01-01,6290000,광주광역시
오리요리의 거리,광주 명물음식 오리탕 전문업소가 밀집된 대표거리,광주광역시 북구 경양로 125 (신안동),광주광역시 북구 신안동 7-8,35.161602,126.905745,300,12,2003,062-410-6547,광주광역시 북구청,2022-01-01,6290000,광주광역시
금호골 음식의거리 (금호 먹거리촌),수백 개의 음식점 등이 밀집한 금호 1동 최대 상업 지구,광주광역시 서구 금화로73번길 18-10(금호동),광주광역시 서구 금호동 764,35.132456,126.857379,1100,150,2010,062-360-7114,광주광역시 서구청,2022-01-01,6290000,광주광역시
패션의거리,패션과 문화를 함께 누릴 수 있는 광주 최대 의류업체 밀집거리,광주광역시 북구 설죽로 227 (용봉동),광주광역시 북구 용봉동 1371-1,35.1799482251,126.8977165833,1200,68,2010,062-410-6547,광주광역시 북구청,2022-01-01,6290000,광주광역시
일곡동 원스푸드특화거리,원스푸드 특화거리로 남은음식 재사용 없는 좋은식단 자율 실천업소 조성거리,광주광역시 북구 일곡마을로 148 (일곡동),광주광역시 북구 일곡동 398-1,35.2094476442,126.8908972170,1200,26,2011,062-410-6700,광주광역시 북구청,2022-01-01,6290000,광주광역시
임동 야구의거리,타이거즈 전설이 되살아나는 야구의 거리,광주광역시 북구 서림로 53,광주광역시 북구 임동 171,35.165459,126.8943521558,1200,167,2017,062-410-6753,광주광역시 북구청,2022-01-01,6290000,광주광역시
전자의거리,"금남로 5가 86번지 일대인 전자거리는 도심의 교통요충지에 위치하여 고객 접근성이 용이한 장점을 살려, 가전제품, 전자부품, 음향기기, 전기자재, CCTV, 컴퓨터, 영상 및 방송시설 등 전자상가 중심의 전문 상점가",광주광역시 동구 독립로264번길 25 (대인동),광주광역시 동구 대인동 27,35.1534492576,126.9136593315,210,123,2007,062-608-2372,광주광역시 동구청,2022-01-01,6290000,광주광역시
아시아음식문화거리,"2014년부터 문화전당 건너편에 위치한 구)시청 일원을 아시아의 다양한 음식과 문화를 맛보고 체험할 수 있는 음식테마 관광지역으로 조성해오고 있으며, 현재는 젊은이들이 많이 찾는 야간 먹자거리로 인기가 높으며, 문화전당 개관후 중국, 일본 등 아시아 음식점들이 증가하고 있다. 앞으로 참신한 아이디어를 지닌 청년셰프와 베트남, 태국 등 외국음식점을 유치하고, 음식문화축제 등을 통해 관광객들에게 풍성한 먹거리, 볼거리 등을 제공해 갈 계획이다.",광주광역시 동구 문화전당로35번길 18-1 (광산동),광주광역시 동구 광산동 92-19,35.1453906131,126.9172368404,600,170,2007,062-608-2413,광주광역시 동구청,2022-01-01,6290000,광주광역시
나무전거리,"목재,문짝,씽크대,합판 등을 취급하고 창호를 비롯한 문 가공하는 거리",광주광역시 동구 경양로 300-1 (동명동),광주광역시 동구 동명동 253-1,35.1543996100,126.9221094962,610,95,2008,062-608-2372,광주광역시 동구청,2022-01-01,6290000,광주광역시
조대장미의거리,조선대학교 인근 장미꽃이 피어있는 문화거리,광주광역시 동구 필문대로287번길 3 (서석동),광주광역시 동구 서석동 427-1,35.1458618003,126.927413,150,30,2016,062-608-2114,광주광역시 동구청,2022-01-01,6290000,광주광역시
