축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
산타축제,임실치즈테마파크,2022-12-23,2022-12-25,"산타플래시몹 퍼레이드, 산타를 찾아라, 산타경연대회 등",(재)임실치즈테마파크,(재)임실치즈테마파크,임실군,063-643-2300,www.cheesepark.kr,N,전라북도 임실군 성수면 도인2길 50,전라북도 임실군 성수면 도인리 689,35.63310329,127.3012599,2022-01-19,4760000,전라북도 임실군
향촌동수제화골목 2016년「빨간구두 이야기」,향촌동수제화골목 일원,2016-05-14,2016-05-15,"무대행사, 체험행사, 부대행사 등",대구광역시 수제화협회,대구광역시 수제화협회,대구광역시 중구,053-661-2046,,,대구광역시 중구 서성로14길 78,대구광역시 중구 대안동 9-2,35.8728473,128.591844,2021-08-20,3410000,대구광역시 중구
봉산조형페스티벌 도예조각전,봉산문화거리,2017-04-25,2017-05-01,도예전시 및 부대행사,봉산문화협회,봉산문화협회,대구광역시 중구,053-661-2174,,,대구광역시 중구 봉산문화길 77,대구광역시 중구 봉산동 131-1,35.86339725,128.5965647,2021-08-20,3410000,대구광역시 중구
2017 대구약령시한방문화축제,약령시(약전골목) 일원,2017-05-03,2017-05-07,"경연, 참여, 체험, 전시, 공연, 먹거리 등",(사)약령시보존위원회,대구광역시+대구광역시 중구,문화체육관광부+한국관광공사+대구시 한약협회+대구시 한의사회+한약도매협회 대구시지회+(주)대구시한약재도매시장,053-661-2044,,,대구광역시 중구 남성로 61 (동성로3가),대구광역시 중구 동성로3가 57,35.86728562,128.5933466,2021-08-20,3410000,대구광역시 중구
천안성환배축제,성환문화회관,2021-12-31,2021-12-31,코로나19 상황 종료시까지 지역축제 잠정 중단,성환청년회의소,성환청년회의소,,041-581-1771,,,충청남도 천안시 서북구 성환읍 성진로 15,,36.91253596,127.1366796,2021-10-15,4490000,충청남도 천안시
천안호두축제,광덕쉼터,2021-10-09,2021-10-10,천안호두 드라이브스루 판매 및 홍보영상제작,천안시호두축제추진위원회,천안시호두축제추진위원회,,041-521-4701,,,충청남도 천안시 동남구 광덕면 광덕리 403,,,,2021-10-15,4490000,충청남도 천안시
천안북면위례벚꽃축제,북면은석초등학교운동장,2021-12-31,2021-12-31,2021년 축제취소,북면위례벚꽃축제추진위원회,북면위례벚꽃축제추진위원회,,041-521-4721,,,충청남도 천안시 동남구 북면 용암3길 10,,36.78825701,127.2576353,2021-10-15,4490000,충청남도 천안시
부산자갈치축제,자갈치시장 및 유라리광장 일원,2020-10-08,2020-10-11,"개막식, 길놀이, 체험프로그램등",(사)부산자갈치문화관광축제위원회,(사)부산자갈치문화관광축제위원회,"부산광역시, 부산광역시 중구, 부산시설관리공단",051-243-9363,http://www.ejagalchi.com/,,부산광역시 중구 자갈치해안로 52,부산광역시 중구 남포동4가 37-1,35.0966394,129.0305933,2022-01-27,3250000,부산광역시 중구
부산크리스마스트리문화축제,광복로 및 중구 관내 일원,2020-11-28,2021-01-03,일루미네이션 크리스마스트리장식/성탄음악행사/시민참여행사/점등식 등,(사) 부산기독교총연합회,(사) 부산기독교총연합회,"부산광역시, 부산광역시중구등",051-464-0112,https://bctf.co.kr,,부산광역시 중구 광복중앙로 2,부산광역시 중구 광복동2가 6-5,35.0995432,129.0314651,2022-01-27,3250000,부산광역시 중구
희망달서 큰잔치,달서아트센터,2022-10-14,2022-10-16,"희망가득체험부스, 다문화 어울림제, 축하 콘서트 등",(재)달서문화재단+대구전업미술가협회+대구사회복지공동모금회,(재)달서문화재단,대구광역시 달서구+달서구의회,053-584-9711,http://www.dscf.or.kr,,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,2022-01-11,3470000,대구광역시 달서구
시(詩)를 노래하는 달빛 콘서트,월광수변공원,2022-09-09,2022-09-11,시(詩)낭송과 함께 시를 노래하는 달빛콘서트,(재)달서문화재단+대구전업미술가협회+대구사회복지공동모금회,(재)달서문화재단,대구광역시 달서구+달서구의회,053-584-9712,http://www.dscf.or.kr,,대구광역시 달서구 월곡로 5,대구광역시 달서구 도원동 898-1,35.7988027,128.5482878,2022-01-11,3470000,대구광역시 달서구
선사문화체험축제,한샘청동공원,2022-10-07,2022-10-08,선사테마축제 및 체험프로그램 운영 등,달서구문화원,달서구문화원,대구광역시 달서구+달서구의회,053-667-2194,http://artko16.netto.kr/,,대구광역시 달서구 조암남로 116,대구광역시 달서구 대천동 353-5,35.8193073,128.5211095,2022-01-11,3470000,대구광역시 달서구
전주대사습놀이,국립무형유산원 및 전주한옥마을 일원,2022-05-14,2022-05-30,"국악경연, 전야제",전주대사습놀이조직위원회,전라북도 전주시,문화관광체육부+전라북도+전라북도교육청+㈜문화방송+전주MBC,063-288-0771,http://www.jjdss.or.kr,"한지산업지원센터, 한옥마을, 객사, 덕진공원",전라북도 전주시 덕진구 권삼득로 400,전라북도 전주시 덕진구 덕진동2가 184-1,35.84915665,127.1196082,2022-01-07,4640000,전라북도 전주시
제23회 전주국제영화제,고사동영화의거리 일대,2022-04-28,2022-05-07,우수한 국내외 영화를 소개하는 영화축제의 장,전주국제영화제조직위원회,전주국제영화제조직위원회,문화체육관광부+전라북도+전라북도 전주시(청)+영화진흥위원회,063-280-7914,https://www.jeonjufest.kr/,"한지산업지원센터, 한옥마을, 객사, 덕진공원",전라북도 전주시 완산구 전주객사4길 74-12,전라북도 전주시 완산구 고사동 181,35.8208219,127.1437421,2022-01-07,4640000,전라북도 전주시
온천1동 온(ON)마음축제,온천1동 행정복지센터,2021-11-05,2021-11-14,"비대면 온택트, 사진전시회, 요리대회, 오징어게임",온천1동한마당축제추진위원회,온천1동한마당축제추진위원회,,042-611-6680,,온천1동 행정복지센터,대전광역시 유성구 도안대로589번길 35,대전광역시 유성구 봉명동 451,36.35311915,127.3389734,2022-01-18,3670000,대전광역시 유성구
온이사랑 마을축제,유림공원,2021-10-21,2021-10-23,"온이사랑 영화제, 장터 국악한마당, 군량들 클래식 산책",온천2동한마당축제추진위원회,온천2동한마당축제추진위원회,,042-611-6710,,유림공원,대전광역시 유성구 어은로 27,대전광역시 유성구 봉명동 496-39,36.3606845,127.3576882,2022-01-18,3670000,대전광역시 유성구
반석천에 울리는 희망스위치 ON,안샘수변공원,2021-10-02,2021-10-30,"지역예술동아리 등이 참여하는 소규모 문화공연, 플리마켓, 관내 어린이집 그림 전시",노은3동 한마음축제추진위원회,노은3동 한마음축제추진위원회,,042-601-6944,,안샘수변공원,대전광역시 유성구 지족북로 49-4,대전광역시 유성구 지족동 1109,36.38955056,127.3045343,2022-01-18,3670000,대전광역시 유성구
신성동 온 마을축제,신성동 일원 및 마을명소,2021-10-01,2021-10-31,"골목상권 살리기, 자동차 영화제, 체험마당, 우리마을 알기, 따신 이벤트",신성동마을축제추진위원회,신성동마을축제추진위원회,,042-601-6788,,신성동 일원 및 마을명소,대전광역시 유성구 신성로 55,대전광역시 유성구 하기동 18-6,36.38922402,127.3473742,2022-01-18,3670000,대전광역시 유성구
전민동 엑스포공원 등축제,엑스포근린공원,2021-11-01,2021-12-31,공원 내 행잉을 통한 모빌 조명 설치,전민동마을축제추진위원회,전민동마을축제추진위원회,,042-601-6803,,엑스포근린공원,대전광역시 유성구 계룡로123번길 52,대전광역시 유성구 봉명동 574,36.35523616,127.3452875,2022-01-18,3670000,대전광역시 유성구
제15회 구즉한마당축제,송강근린공원,2021-10-23,2021-10-23,"별밤가족시네마, 소규모 문화공연, 국화 루미나리에",구즉한마당축제추진위원회,구즉한마당축제추진위원회,,042-601-6835,,송강근린공원,대전광역시 유성구 송강로42번길 34(송강동),대전광역시 유성구 송강동 9,36.43501232,127.3840991,2022-01-18,3670000,대전광역시 유성구
2017 안양충훈벚꽃축제,안양충훈2교일대,2017-04-07,2017-04-09,"축하공연, 안양꽃길걷기대회, 안양꽃길그리기, 어린이벼룩시장, 거리공연, 체험부스 등",(재)안양문화예술재단,안양시+안양충훈벚꽃축제추진위원회,티브로드abc방송,031-687-0500,http://www.ayac.or.kr,"안양예술공원, APAP, 김중업박물관",경기도 안양시 만안구 석수로 159,경기도 안양시 만안구 석수동 797,37.40461526,126.8961574,2022-02-09,3830000,경기도 안양시
악양대봉감축제,하동군 악양면 평사리 일원,2020-01-01,2020-12-31,대봉감축제,악양면청년회,악양면청년회,,,,,경상남도 하동군 악양면 섬진강대로 3145-2,,35.1359293463,127.6914855048,2020-03-10,5440000,경상남도 하동군
2020 명량대첩축제,해남·진도울돌목 일원,2020-09-11,2020-09-13,해전재현+출정식+평화의 민가행진+호국기원퍼포먼스+학술심포지엄 등,(재)명량대첩기념사업회,전라남도+해남군+진도군,문화체육관광부+보건복지부+대한민국해군+한국관광공사+한국지역진흥재단,061-286-5262,http://www.mldc.kr/web/,,전라남도 진도군 군내면 진도대로 8459-13 (녹진리 1)+전라남도 해남군 문내면 관광레저로 12 (학동리 산 36),,34.5707173017,126.3009784397,2020-09-02,6460000,전라남도
제26회 남도음식문화큰잔치,강진만 생태공원,2019-10-11,2019-10-13,상달행렬+천인오찬+달빛야시장+전시판매+경연대회 등,(재)남도음식문화큰잔치,전라남도+강진군,문화체육관광부+농림축산식품부+식품의약품안전처+한국관광공사+한국지역진흥재단,061-286-5771,http://www.namdofood.or.kr/,,전라남도 무안군 삼향읍 오룡길 1,,34.8174871265,126.4653809760,2020-09-02,6460000,전라남도
증평인삼골축제,증평보강천체육공원,2021-10-01,2021-10-31,"○ 핵심프로그램(인삼캐기체험, 홍삼포크삼겹살대잔치) ○ 인삼, 홍삼포크를 테마로 한 공연, 전시, 체험프로그램 운영 ○ 개막 공연 및 문화공연(열린콘서트, 인삼골합창제, 인삼골군악콘서트) ○ 경연행사(국제청소년페스티벌, 인삼장사씨름대회, 인삼골가요제, 증평인삼어린이사생대회, 백곡김득신백일장) ○ 기타 전시·체험행사, 참여행사 등",증평문화원,증평인삼골축제추진위원회,증평군,043-835-3977,https://www.jp.go.kr/tour/prog/tursmCn/sub03_01/view.do?progNo=p00000006356hw4uR8as,,,충청북도 증평군 증평읍 송산리 217,36.7860877,127.5746179,2021-05-31,5570000,충청북도 증평군
동성로축제,동성로,2021-10-01,2021-10-03,"동성로 가요제, 댄스, 먹방대회, 패션쇼 등",동성로상점가상인회,사단법인달성문화선양회,,053-423-3337,http://www.jung.daegu.kr/,,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,2021-08-10,6270000,대구광역시
대구패션주얼리위크,교동,2021-09-01,2021-10-31,"주얼리패션쇼, 주얼리 경매, 주얼리 모델대회 등",대구패션주얼리특구상인회,대구패션주얼리특구상인회,,053-424-9150,http://www.jung.daegu.kr/,개최일자 미정,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,2021-08-10,6270000,대구광역시
대구스트리트모터페스티벌,남산동 자동차골목,2021-09-01,2021-12-31,"차량 전시, 축하공연, 부대행사 등",남산동DSMF조직위원회,남산동자동차골목상점가상인회,,053-661-3014,http://www.jung.daegu.kr/,개최일자 미정,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,2021-08-10,6270000,대구광역시
대구문화재야행,대구근대골목,2021-08-20,2021-08-21,"근대 관련 문화공연, 전시, 체험, 청사초롱 야경투어 및 테마투어 등",대구광역시 중구 관광진흥과,대구광역시 중구 관광진흥과,,053-661-2195,http://www.jung.daegu.kr/,,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,2021-08-10,6270000,대구광역시
김광석 나의노래 다시부르기,"김광석길, 신천둔치",2021-09-11,2021-10-02,"김광석 노래경연, 김광석 추모사진 전시 등",주식회사 대구문화방송,대구광역시 중구 문화교육과,,053-661-2174,http://www.jung.daegu.kr/,개최일자 미정,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,2021-08-10,6270000,대구광역시
김광석길 페스티벌,김광석길,2021-10-01,2021-10-31,"김광석길 문화예술 공연, 버스킹, 전시 등",방천문화예술협회,방천문화예술협회,,053-661-2174,http://www.jung.daegu.kr/,개최일자 미정,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,2021-08-10,6270000,대구광역시
서문시장글로벌대축제,서문시장,2021-10-01,2021-10-31,"보부상퍼레이드, 상인가요제, 서문가요제",서문시장상가연합회,대구광역시 중구 일자리경제과,,053-256-6341,http://www.jung.daegu.kr/,개최일자 미정,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,2021-08-10,6270000,대구광역시
2016 대구약령시한방문화축제,약령시(약전골목) 일원,2016-05-04,2016-05-08,"경연, 참여, 체험, 전시, 공연, 먹거리 등",(사)약령시보존위원회,대구광역시+대구광역시 중구,문화체육관광부+한국관광공사+대구시 한약협회+대구시 한의사회+한약도매협회 대구시지회+(주)대구시한약재도매시장,053-661-2044,,,대구광역시 중구 남성로 61 (동성로3가),대구광역시 중구 동성로3가 35-13,35.86728562,128.5933466,2021-08-20,3410000,대구광역시 중구
고성군민의 날 및 수성문화제,고성종합운동장외 부대시설,2021-09-15,2021-09-16,"수성제례, 군민의 날 행사 등",고성문화원,고성군수성문화제위원회,"고성군, 고성군의회, 고성경찰서, 강원도고성교육지원청, 고성소방서, 22사단 및 예하 부대, 관내 기관, 단체, 학교",,,코로나19로 축소 추진,강원도 고성군 간성읍 수성로 87,강원도 고성군 간성읍 상리 500번지 외,38.37632274,128.4650421,2021-10-15,4340000,강원도 고성군
제13회 마포나루 새우젓축제,서울월드컵공원 평화의 광장 일원,2020-10-16,2020-10-18,"개장식, 기념식, 문화행사, 체험행사, 판매행사",마포문화원,서울특별시 마포구,,02-3153-8353,http://www.mapo.go.kr/site/maponarusf/home,,서울특별시 마포구 월드컵로 243-60(성산동),서울특별시 마포구 성산동 390-1,37.5635262478,126.8984363299,2020-05-26,3130000,서울특별시 마포구
대구글로벌게임문화축제 e-fun,동성로,2021-10-01,2021-10-31,"게임영상콘서트, e스포츠대회, 코스프레대회, 게임체험존 운영",재단법인대구디지털산업진흥원,대구광역시 문화콘텐츠과,,053-803-3801,http://www.daegu.go.kr/,개최일자 미정,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2021-08-10,6270000,대구광역시
생명사랑환경축제-맹꽁이야 놀자,달성습지,2021-09-01,2021-10-31,"생태교육 및 참여 프로그램 운영, 달성습지 홍보 등",사단법인대구경북늘푸른자원봉사단,대구광역시 환경정책과,,053-803-4215,http://www.daegu.go.kr/,개최일자 미정,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2021-08-10,6270000,대구광역시
대구국제재즈축제,공원,2021-10-01,2021-10-31,"재즈뮤지션 초청공연, 프린지 공연, 대구국제실용음악콩쿠르 개최",대구국제재즈축제조직위원회,대구광역시 문화예술정책과,,1544-1850,http://www.daegu.go.kr/,개최일자 미정,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2021-08-10,6270000,대구광역시
팔공산 산중장터 승시,동화사,2021-10-01,2021-10-31,"산중장터 승시 재현, 승시음악회, 불교용품 전시, 체험관 운영 등",팔공산승시축제봉행위원회,팔공총림동화사,,053-980-7956,http://www.daegu.go.kr/,개최일자 미정,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2021-08-10,6270000,대구광역시
대구생활문화제,동성로,2021-10-01,2021-10-31,"예술동호회 공연 및 전시, 체험존 운영",대구문화재단,대구광역시 문화예술정책과,,053-803-3631,http://www.daegu.go.kr/,개최일자 미정,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2021-08-10,6270000,대구광역시
대봉웨딩거리축제,대봉웨딩거리,2021-09-01,2021-12-31,"웨딩 관련 상품체험, 길거리 공연 등",미정,미정,미정,053-661-2645,http://www.jung.daegu.kr/,개최일자·주최 등 미정,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,2021-08-10,6270000,대구광역시
약령개장 357주년 2015「대구약령시 한방문화축제」,약령시(약전골목) 일원,2015-04-15,2015-04-19,"경연, 참여, 체험, 전시, 공연, 먹거리 등",(사)약령시보존위원회,대구광역시+대구광역시 중구,문화체육관광부+한국관광공사+대구시 한약협회+대구시 한의사회+한약도매협회 대구시지회+(주)대구시한약재도매시장,053-661-2044,,,대구광역시 중구 남성로 61 (동성로3가),대구광역시 중구 동성로3가 35-13,35.86728562,128.5933466,2021-08-20,3410000,대구광역시 중구
향촌동수제화골목 2015년「빨간구두 이야기」,향촌동수제화골목 일원,2015-05-02,2015-05-03,"무대행사, 체험행사, 부대행사 등",대구광역시 수제화협회,대구광역시 수제화협회,대구광역시 중구,053-661-2046,,,대구광역시 중구 서성로14길 78,대구광역시 중구 대안동 14-1,35.8728473,128.591844,2021-08-20,3410000,대구광역시 중구
봉황각 3.1독립운동 재현행사,서울특별시 강북구 우이동 봉황각 일원,2020-03-01,2020-03-01,도선사 타종,서울특별시 강북구청,서울특별시 강북구청,천도교 중앙총부,02-901-6207,www.gangbuk.go.kr,,서울특별시 강북구 삼양로173길 107-12,서울특별시 강북구 우이동 254,37.66019851,127.0060603,2022-01-07,3080000,서울특별시 강북구
4.19혁명 국민문화제 2020,서울특별시 강북구 국립4.19 민주묘지 및 강북구 일원,2020-09-26,2020-09-27,4.19기념 국민문화제,4.19혁명 국민문화제위원회,4.19 3개단체+서울특별시 강북구청,국가보훈처 서울특별시  서울특별시 교육청  KBS,02-901-6206,www.festival419.org,,서울특별시 강북구 도봉로89길 13,서울특별시 강북구 수유동 192-59,37.63918553,127.0254518,2022-01-07,3080000,서울특별시 강북구
종교연합바자회,서울특별시 강북구 한신대신학대학원,2019-10-12,2019-10-12,종교연합 바자회 기증물품 판매  문화공연  수익금전액 난치병어린이돕기 후원,서울특별시 강북구 관내 3종교연합,서울특별시 강북구 관내 3종교연합,강북구  티브로드  한신대학교 신학대학원,02-901-6208,www.gangbuk.go.kr,,서울특별시 강북구 인수봉로 159,서울특별시 강북구 수유동 498-16,37.6350142,127.0129382,2022-01-07,3080000,서울특별시 강북구
단기4355년 개천절 대제전,사직동 단군성전,2022-10-03,2022-10-03,국조 단군의 개국을 기념하는 전통제례 봉행 및 부대행사,(사)현정회,(사)현정회,"문화체육관광부, 서울특별시, 종로구",02-736-6375,http://blog.naver.com/lgb301,,서울특별시 종로구 인왕산로 22,서울특별시 종로구 사직동 1-28,37.5758942,126.9658032,2022-01-11,3000000,서울특별시 종로구
단기4355년 어천절 대제전,사직동 단군성전,2022-03-15,2022-03-15,국조 단군의 승천을 기념하는 전통제례 봉행 및 부대행사,(사)현정회,(사)현정회,"문화체육관광부, 서울특별시, 종로구",02-736-6375,http://blog.naver.com/lgb301,,서울특별시 종로구 인왕산로 22,서울특별시 종로구 사직동 1-28,37.5758942,126.9658032,2022-01-11,3000000,서울특별시 종로구
2022 종로한복축제,종로구 일대,2022-10-08,2022-10-09,한복을 중심으로 한 전통행사,(재)종로문화재단,서울특별시 종로구,"서울특별시, 문화체육관광부, 한국관광공사",02-2148-1803,https://jongnohanbok.kr/site/main/home,,"서울특별시 종로구 새문안로3길 3, 6층",서울특별시 종로구 신문로1가 58-15,37.570671,126.972381,2022-01-11,3000000,서울특별시 종로구
"2021년 과천축제 특별기획프로그램 안녕, 과천",과천시 일원,2020-09-24,2020-09-27,비대면 기획공연 및 사진·그림 전시회,(재)과천축제,과천시,,02-2009-9732,http://www.gcfest.or.kr,,경기도 과천시 통영로 5 (과천시민회관 2층),경기도 과천시 중앙동 6-2,37.42819137,126.9891538,2022-01-10,3970000,경기도 과천시
금당산 신년맞이행사,광주광역시 남구 진월동 금당산 정상,2021-01-01,2021-01-01,신년맞이행사,광주광역시 남구,광주광역시 남구,,062-651-9020,http://www.namgu.gwangju.kr/menu.es?mid=a70301000000cnt1,,광주광역시 남구 회재로1140-23,광주광역시 남구 주월동 543-8,35.12825676,126.888223,2022-01-01,6290000,광주광역시
대구약령시한방문화축제,약령시장,2021-10-06,2021-10-10,"고유제, 개막식, 체험프로그램 등",사단법인약령시보존위원회,"대구광역시 의료산업기반과, 대구광역시 중구 관광진흥과",,053-253-4729,http://www.daegu.go.kr/,,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2021-08-10,6270000,대구광역시
대구컬러풀페스티벌,국채보상로,2021-10-22,2021-10-24,"퍼레이드, 축하공연, 부대행사 등",재단법인대구문화재단,대구광역시 문화콘텐츠과,,053-430-1261,http://www.daegu.go.kr/,,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2021-08-10,6270000,대구광역시
대구국제뮤지컬페스티벌,공연장,2021-06-18,2021-07-05,"국내외 우수작품 공연, 딤프어워즈, 딤프린지 등",사단법인DIMF,대구광역시 문화콘텐츠과,,053-622-1945,http://www.daegu.go.kr/,,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2021-08-10,6270000,대구광역시
대구치맥페스티벌,두류공원,2021-10-01,2021-11-30,"치맥 테마 식음, 체험, 공연, 참여프로그램 운영 등",대구치맥페스티벌 조직위원회,사단법인한국치맥산업협회,,053-248-9998,http://www.daegu.go.kr/,개최일자 미정,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2021-08-10,6270000,대구광역시
디지털패션문화페스티벌,공원,2021-09-01,2021-09-30,"디지털 패션쇼, 패션아트 전시 및 공연, 이커머스 라이브 마켓 등",한국패션산업연구원,대구광역시 섬유패션과,,053-721-7434,http://www.daegu.go.kr/,개최일자 미정,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2021-08-10,6270000,대구광역시
대구포크페스티벌,공원,2021-10-01,2021-10-31,"포크송 및 버스킹 공연, 언택트 공연 100인 랜선 합창 등",사단법인대구포크페스티벌,대구광역시 문화예술정책과,,053-626-2015,http://www.daegu.go.kr/,개최일자 미정,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2021-08-10,6270000,대구광역시
대구국제오페라축제,공연장,2021-09-09,2021-11-07,"초청 오페라 공연, 국제오페라오디션 등",재단법인대구오페라하우스,대구광역시 문화콘텐츠과,,053-803-3792,http://www.daegu.go.kr/,,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2021-08-10,6270000,대구광역시
홍원항 자연산 전어.꽃게 축제,서면 홍원항 일원,2020-09-19,2020-10-04,"맨손으로 전어 잡기 체험, 추억의 놀이 체험, 숨겨진 보물을 찾아라, 비눗방울 놀이 등",홍원항마을축제추진위원회,홍원항마을축제추진위원회,없음,041-950-4016,http://tour.seocheon.go.kr,"축제 일정, 프로그램",충청남도 서천군 서면 홍원길 130-3,충청남도 서천군 서면 도둔리 1222-7,36.1588618,126.4992204,2021-11-01,4580000,충청남도 서천군
한산모시문화제,한산모시관 일원,2020-06-12,2020-06-14,한산모시를 주제로 하는 다양한 프로그램 운영,한산모시문화제추진위원회,서천군,"문화체육관광부, 충청남도, 농협 등",041-950-4256,www.hansanmosi.kr/,"축제 일정, 프로그램",충청남도 서천군 한산면 충절로 1089,충청남도 서천군 한산면 지현리 60-1,36.0799445,126.7987047,2021-11-01,4580000,충청남도 서천군
서천철새여행,조류생태전시관 일원,2020-11-22,2020-11-24,철새 탐조 및 철새 관련 문화행사,서천철새여행추진위원회,서천군,없음,041-950-4256,http://tour.seocheon.go.kr,"축제 일정, 프로그램",충청남도 서천군 마서면 장산로 916,충청남도 서천군 마서면 도삼리 59,36.02280046,126.7426918,2021-11-01,4580000,충청남도 서천군
2019 계룡산산신제,계룡면 양화리 신원사일원,2019-04-20,2019-04-21,"유.불.무가식 산신제,점사체험, 다양한 무대공연 등",계룡산산신제보존회,공주시,,041-840-2056,,,충청남도 공주시 계룡면 보목고개로 393,충청남도 공주시 계룡면 양화리 165-1,36.333638,127.177107,2021-10-22,4500000,충청남도 공주시
제16회 마곡사신록축제,사곡면 운암리 마곡사일원,2019-04-27,2019-04-28,"버스킹공연, 꽃화분, 야생화 전시, 보물찾기, 농특산물 판매 등",마곡사신록축제추진위원회,공주시,,041-840-2056,,,충청남도 공주시 사곡면 마곡사로 966 마곡사,충청남도 공주시 사곡면 운암리 567,36.55740589,127.011603,2021-10-22,4500000,충청남도 공주시
2019 계룡산벚꽃축제,계룡산 동학사 일원,2019-04-05,2019-04-14,"야간경관 설치, 계룡산벚꽃가요제, 분청사기 만들기, 먹거리 운영 등",계룡산축제추진위원회,공주시,,041-840-2056,,,충청남도 공주시 반포면 동학사1로 167-31,충청남도 공주시 반포면 학봉리 631-9,36.36030634,127.2509274,2021-10-22,4500000,충청남도 공주시
갑사황매화 축제,갑사일원,2019-04-26,2019-04-28,"문화공연, 체험, 갑사 과거사 사진전시회 등",갑사번영회,공주시,,041-840-8093,,,충청남도 공주시 계룡면 갑사로 567-3,충청남도 공주시 계룡면 갑사로 567-3,36.36607692,127.1864443,2021-10-22,4500000,충청남도 공주시
공주항공축제,공주경비행기장(정안천 일원),2019-05-04,2019-05-06,"경량항공기 활주로 주행체험, 포토존, 물로켓 만들기등",공주경비행기,공주시,,041-840-8093,,,충청남도 공주시 의당면 수촌리 943,충청남도 공주시 의당면 수촌리 943,36.5103003287,127.1259096504,2021-10-22,4500000,충청남도 공주시
「제36회 대구약령시 한방문화축제」,약령시(약전골목) 일원,2013-05-08,2013-05-12,"경연, 참여, 체험, 전시, 공연, 먹거리 등",(사)약령시보존위원회,대구광역시+대구광역시 중구,문화체육관광부+한국관광공사+대구시 한약협회+대구시 한의사회+한약도매협회 대구시지회+(주)대구시한약재도매시장,053-661-2044,,,대구광역시 중구 남성로 61 (동성로3가),대구광역시 중구 동성로3가 35-13,35.86728562,128.5933466,2021-08-20,3410000,대구광역시 중구
「제37회 대구약령시 한방문화축제」,약령시(약전골목) 일원,2014-10-01,2014-10-05,"경연, 참여, 체험, 전시, 공연, 먹거리 등",(사)약령시보존위원회,대구광역시+대구광역시 중구,문화체육관광부+한국관광공사+대구시 한약협회+대구시 한의사회+한약도매협회 대구시지회+(주)대구시한약재도매시장,053-661-2044,,,대구광역시 중구 남성로 61 (동성로3가),대구광역시 중구 동성로3가 35-13,35.86728562,128.5933466,2021-08-20,3410000,대구광역시 중구
향촌동수제화골목 2014년「빨간구두 이야기」,향촌동수제화골목 일원,2014-11-15,2014-11-16,"무대행사, 체험행사, 부대행사 등",대구광역시 수제화협회,대구광역시 수제화협회,대구광역시 중구,053-661-2046,,,대구광역시 중구 서성로14길 78,대구광역시 중구 대안동 9-2,35.8728473,128.591844,2021-08-20,3410000,대구광역시 중구
춘장대해수욕장 여름문화예술축제,춘장대해수욕장 중앙광장,2020-07-31,2020-08-01,"한여름밤의 트롯이야기, 춘장대 시네마, 춘장대 푸파 페스티벌 등",춘장대해수욕장 운영협의회,서천군,없음,041-950-4016,http://tour.seocheon.go.kr,"축제 일정, 프로그램",충청남도 서천군 서면 춘장대길 20,충청남도 서천군 서면 도둔리 1319,36.16334922,126.5243355,2021-11-01,4580000,충청남도 서천군
자연산 광어.도미 축제,서면 마량포구 일원,2020-05-16,2020-05-31,"맨손으로 광어잡기 체험, 기념공원에서 보물찾기",서면개발위원회,서면개발위원회,없음,041-950-4016,http://tour.seocheon.go.kr,"축제 일정, 프로그램",충청남도 서천군 서면 서인로 56,충청남도 서천군 서면 마량리 339-6,36.1293642,126.5036472,2021-11-01,4580000,충청남도 서천군
마량포 해넘이.해돋이 축제,서면 마량포구 일원,2020-12-31,2021-01-01,"새해 떡국나눔행사, 불꽃놀이, 버스킹 공연, 소원등 달기",서면개발위원회,서천군,없음,041-950-4016,http://tour.seocheon.go.kr,"축제 일정, 프로그램",충청남도 서천군 서면 서인로 56,충청남도 서천군 서면 마량리 339-6,36.1293642,126.5036472,2021-11-01,4580000,충청남도 서천군
