관광지명,관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
오전약수관광지,관광지,경상북도 봉화군 물야면 문수로 1541,경상북도 봉화군 물야면 오전리 95-35,37.01209531,128.7457209,137000,관리사무소+화장실+상하수도시설+주차장,,,,관광식당,,1986-12-30,2000,500,"심산계곡에 자리잡은 약수탕은 선달산, 옥석산 아래 깊은 계곡에 위치하고 있고, 약수는 예부터 위장병과 피부병에 효험이 있다.",054-679-6354,경상북도 봉화군청,2021-09-28,5240000,경상북도 봉화군
다덕약수관광지,관광지,경상북도 봉화군 봉성면 다덕로 873,경상북도 봉화군 봉성면 우곡리 505-5,36.9141215,128.8273232,88720,관리사무소+화장실+주차장,,,,관광식당,,2008-12-30,500,120,옛날 스무나무 아래 약수가 있어 이를 마시고 위장병과 피부병에 효험이 있어 많은 사람이 이 약수를 마시고 덕을 보았다 하여 다덕약수라고 불리움,054-679-6354,경상북도 봉화군청,2021-09-28,5240000,경상북도 봉화군
주왕산 관광지,관광지,경상북도 청송군 주왕산면 주왕산로 494,경상북도 청송군 주왕산면 하의리 842,36.37813214,129.108598,249642.6,관리사무소+주차장+진입광장+도로+배수지+오수처리장,콘도미니엄,,허브가든+도예촌+전망휴게소+유교문화체험관+민예촌+박물관,,,2007-10-22,3000,708,"체험, 체류형 종합휴양관광지",054-870-6239,청송군청,2021-09-28,5160000,경상북도 청송군
호미곶관광단지,관광지,경상북도 포항시 남구 호미곶면 해맞이로 136,경상북도 포항시 남구 호미곶면 대보리 286-5,36.07608308,129.5665319,221366,공중화장실+잔디밭,,,새천년기념관,여행자센터,,2003-11-06,1000000,223,호미곶의전경을 확인,054-270-2244,포항시 관광산업과,2021-09-27,5020000,경상북도 포항시
신륵사관광지,관광지,경기도 여주시 신륵사길 73,경기도 여주시 천송동 289-7,37.29742583,127.6599364,947268,관광안내소+주차장,관광호텔+여관+콘도,물놀이장+오락장,청소년 수련실+야외음악당,,,1978-02-11,4070,1830,"시원한 남한강을 따라 자전거도로, 각종 체육시설과 여주박물관, 도자세상, 농특산물 판매장이 있으며, 매년 여주도자기축제와 오곡나루축제가 이곳에서 개최되고 있다. 특히 남한강을 가르는 황포돛배(Yellow Sail boat)와 수상레저를 즐길 수 있는 가족 연인들의 나들이 공간이다",031-887-2070,경기도 여주시,2021-09-27,5700000,경기도 여주시
함평해수찜,관광지,전라남도 함평군 손불면 석산로 61,,35.10050068,126.4648643,993,X,,,,,,2000-11-11,500,100,온천과 약찜의 효능을 한꺼번에 즐길수 있음,061-320-1784,함평군,2021-09-25,4960000,전라남도 함평군
함평자연생태공원,관광지,전라남도 함평군 대동면 학동로 1398-77,,35.13500123,126.5056999542,597250,X,,,,,,2000-11-11,500,100,사계절 탐방학습과 생태체험,061-320-2851,함평군,2021-09-25,4960000,전라남도 함평군
함평양서파충류생태공원,관광지,전라남도 함평군 신광면 학동로 1398-9,,35.13834076,126.4937003445,85000,X,,,,,,2000-11-11,500,100,국내 최대 양서파충류 전문 전시관,061-320-2874,함평군,2021-09-25,4960000,전라남도 함평군
함평엑스포공원,관광지,전라남도 함평군 함평읍 곤재로 27,,35.0581392332,126.5226055585,246907,X,,,,,,2000-11-11,100000,100,아시아생태문화관광지,061-320-2204,함평군,2021-09-25,4960000,전라남도 함평군
일강김철선생기념관,관광지,전라남도 함평군 신광면 일강로 873-12,,35.1889310262,126.4801235166,10770,X,,,,,,2009-06-29,100,10,독립운동가 김철선생의 애국정신을 재조명하는 교육의 장,061-320-1455,함평군,2021-09-25,4960000,전라남도 함평군
위도해수욕장,관광지,전라북도 부안군 위도면 위도로 366,전라북도 부안군 위도면 진리 545,35.6058309773,126.2853294341,0,관리사무소+화장실+주차장,"민박, 펜션 등",,,,,1992-08-22,0,0,산들이 감싸고 있는 아담한 모래사장과 맑은 물이 아름다운 위도의 해수욕장,063-583-3804,부안군,2021-06-15,4790000,전라북도 부안군
모항해수욕장,관광지,전라북도 부안군 변산면 모항길 23-1,전라북도 부안군 변산면 도청리 165,35.5831428,126.5082098,0,관리사무소+화장실+주차장,모항해나루가족호텔 등,,,,,2000-11-30,0,0,아담한 백사장과 소나무 밭이 조화를 이루는 해수욕장,063-580-4738,부안군,2021-06-15,4790000,전라북도 부안군
최참판댁,관광지,경상남도 하동군 악양면 평사리길 66-7,경상남도 하동군 악양면 평사리 483,35.1559090452,127.688408,9529,화장실(4동)+주차장,,,,,,2001-01-04,5000,230,소설 토지의 최참판댁을 복원하여 전통 건축물 등을 관람 할 수 있음,055-880-2381,경상남도 하동군청,2020-12-01,5440000,경상남도 하동군
경산온천,관광지,경상북도 경산시 남산면 상대로116길 18,경상북도 경산시 남산면 상대리 528,35.78037855,128.7922287,262060,상대온천웨딩홀+커피,관광호텔,,교육문화회관,,,1987-12-15,100,100,"상대온천관광호텔은 경산 시내에서 자동차로 30분가량 걸리는 산속 마을에자리잡고 있어 처음 찾기는 어려우나, 수질이 좋아 한번 찾아온 사람은 반드시다시 찾아온다고 한다. 신라 시대부터 더운 바위샘온암정(溫巖井), 대추골 더운샘,온수골이라 불렸으며, 한겨울에도 물이 얼지 않아 빨래터로 이용했다. 수량이풍부한 데다 한국에서는 보기 드물게 알칼리성이 강한 황산천이다. 맑고 깨끗한온천수에 황산이온, 염소, 과망간산칼륨 등 2,500여 종의 각종 미네랄이 함유돼 있다.피부병·신경통·위장병·비뇨기질환·동맥경화증에 효과가 좋다고 알려져 있다. 특히위장병에 좋다고 해서 온천수를 그대로 마시는 사람들도 있다.객실은 양실과 한실로 구성돼 있으며, 연회장, 가족탕, 온천사우나, 토산품점, 예식홀,커피숍, 숲속 카페, 교육문화회관 등 부대시설을 갖추고 있다. 053)815-8001",053-810-5363,경상북도 경산시청,2021-06-07,5130000,경상북도 경산시
좌구산휴양랜드,관광지,충청북도 증평군 증평읍 솟점말길 107,충청북도 증평군 증평읍 율리 산 61-1,36.70556821,127.6511216,730000,관리사무소+화장실+주차장,"좌구산 휴양림, 율리휴양촌, 오토캠핑장","좌구산줄타기, 사계절썰매장, MTB코스, 가상증강현실 종합전시체험장, 숲속모험시설","명상구름다리, 좌구산 숲명상의 집, 삼기생태공원, 별천지공원",,,2005-10-01,5000,230,"증평의 명산 좌구산에 조성된 휴양랜드로서, 휴양림, 캠핑, 명상구름다리, 명상의 집, 줄타기체험, 사계절썰매장 등 다양한 체험시설과 아름다운 풍경을 한눈에 담을 수 있음",043-835-4553,증평군 휴양공원사업소,2021-05-31,5570000,충청북도 증평군
좌구산 천문대,관광지,충청북도 증평군 증평읍 솟점말길 107,충청북도 증평군 증평읍 율리 산 61-1,36.70556821,127.6511216,892,관리사무소+화장실+주차장,"좌구산 휴양림, 율리휴양촌, 오토캠핑장","천체관측, 천체투영실, VR체험관",,,,2013-09-04,500,24,356mm 굴절망원경을 갖추어 천체의 생생한 모습과 좌구산의 맑고 깨끗한 밤하늘을 관찰할 수 있음,043-835-4573,증평군 휴양공원사업소,2021-05-31,5570000,충청북도 증평군
증평민속체험박물관,관광지,충청북도 증평군 증평읍 둔덕길 89,충청북도 증평군 증평읍 남하리 91,36.7638886,127.5955694,21980,관리사무소+화장실+주차장,,"야외민속놀이마당, 어린이체험전시, 민속품체험, 한옥체험, 농경체험, 공예체험, 대장간체험","두레관, 한옥체험관, 향토자료전시관, 한옥체험장, 공예체험장",,,2010-06-12,500,50,"증평의 역사와 농경문화를 엿볼 수 있는 전통문화체험요소와 다양한 전시관이 있으며, 장뜰두레놀이 등 들노래축제가 개최됨",043-835-4153,증평군 문화체육과,2021-05-31,5570000,충청북도 증평군
그림책도서관,관광지,전라남도 순천시 도서관길 33(동외동),전라남도 순천시 동외동 176,34.9579091,127.4860252,2205,"화장실, 수유실",,,인형극장,카페테리아,,2017-01-01,200,20,그림책원화전시 및 인형극등 체험,061-749-8892,순천시청 도서관운영과,2021-08-01,4820000,전라남도 순천시
순천시청소년수련원,관광지,전라남도 순천시 서면 청소년수련원길 167,전라남도 순천시 서면 운평리 774-1,35.0449418,127.4742467,559000,화장실,,,,,,1993-10-22,7500,100,물과 숲 그리고 자연과 사람이 어우러지는 청소년 수련원,061-749-5522,순천시청 평생학습과,2021-08-01,4820000,전라남도 순천시
순천용오름마을,관광지,전라남도 순천시 주암면 운룡2길 17,전라남도 순천시 주암면 운룡리 798-1,35.0921171,127.2022244,98300,"화장실, 테마체험관,",숙박시설 5개,,용오름계곡,"매점, 용오름장터",,2011-03-01,100,50,"한봉채취, 천연 밀랍초 만들기, 한봉 분양받기, 꿀벌 관찰 등 다양하고 흥미로운 체험을 할 수 있는 농촌전통테마마을",061-754-2416,순천시청 주암면,2021-08-01,4820000,전라남도 순천시
온달관광지,관광지,충청북도 단양군 영춘면 온달로 23,충청북도 단양군 영춘면 하리 147,37.06295564,128.4929221,97567,화장실+주차장,,드라마세트장+온달동굴,온달전시관,,,1994-09-06,2000,265,온달관광지,043-423-8820,단양관광관리공단,2021-09-08,4480000,충청북도 단양군
천동관광지,관광지,충청북도 단양군 단양읍 다리안로 520,충청북도 단양군 단양읍 천동리 201,36.97401141,128.4165952,26594,화장실+주차장,야영장,물놀이장+천동동굴,,,,1984-11-28,2000,80,천동관광지,043-423-3589,단양관광관리공단,2021-09-08,4480000,충청북도 단양군
다리안관광지,관광지,충청북도 단양군 단양읍 소백산등산길 12,충청북도 단양군 단양읍 천동리 409,36.9647819,128.4207808,153835,화장실+주차장,돔하우스+통나무집+캠핑장,원두막+야영장+돔하우스+캠핑장,,,,1984-11-28,2000,155,다리안관광지,043-423-1243,단양관광관리공단,2021-09-08,4480000,충청북도 단양군
도림사,관광지,전라남도 곡성군 곡성읍 도림로 175,전라남도 곡성군 곡성읍 월봉리 327,35.26727743,127.2575047,242.55,공중화장실,도림사오토캠핑장,,도림사오토캠핑장,,,1990-02-13,1000,100,숲과 계곡이 아름다운 청정도량,061-362-2727,도림사,2021-09-07,4860000,전라남도 곡성군
섬진강 기차마을,관광지,전라남도 곡성군 오곡면 기차마을로 232,전라남도 곡성군 오곡면 오지리 770-5,35.27753157,127.3082867,218369,"기차마을 사무실, 관광안내소, 수유실",기차마을 로즈유스호스텔,"드림랜드, 요술랜드, 미니기차, 기차마을 레일바이크","기차마을 생태학습관, 기차마을 카페",,,2005-06-30,50000,1000,"기차를 테마로 다양한 즐길거리가 구비된 곡성의 대표 관광지로, 3년 연속 한국관광100선에 선정되었음. 매년 세계장미축제와 곡성심청축제가 열리는 주무대",061-360-8636,전라남도 곡성군청,2021-09-07,4860000,전라남도 곡성군
가우도,관광지,전라남도 강진군 대구면 중저길 31-27,,34.53639075,126.791046,3000,"낚시공원1, 휴게시설1, 식당2, 쉼터2","밀물펜션, 한옥펜션, 노을민박, 바닷가펜션, 가우도펜션",,낚시공원1,,,2013-01-01,1000,100,곰솔나무 등 태고적 숨결이 가득한 함께해길그리고 바다를 걷는 출렁다리삶의 여유가 묻어나는 섬 가우도에서는 건강함도 함께한다,061-430-3344,강진군청,2020-12-22,4920000,전라남도 강진군
보강천 미루나무숲,관광지,충청북도 증평군 증평읍 인삼로 23,충청북도 증평군 증평읍 송산리 667,36.7873273,127.5728127,20000,관리사무소+화장실+주차장,,"어린이 놀이체험기구, 휴식쉼터",보강천생태공원,,,2019-10-21,500,50,"보강천 수변에 위치하고 형형색색 이국풍의 꽃과 풍차, 분수, 놀이터 등 다양한 휴식공간을 갖추며, 산책뿐만 아니라 사진을 찍으며 추억을 쌓기 좋은 곳, 증평인삼골 축제 개최",043-835-4533,증평군 휴양공원사업소,2021-05-31,5570000,충청북도 증평군
증평인삼판매장,관광지,충청북도 증평군 증평읍 중부로 2451,충청북도 증평군 증평읍 송산리 94-1,36.79588146,127.5817602,20242,관리사무소+화장실+주차장,,,,"충북인삼유통센터, 상설판매장",,2005-09-23,500,118,지역 농특산물인 인삼을 판매하는 대표 인삼판매장,043-835-3734,증평군 농정과,2021-05-31,5570000,충청북도 증평군
에듀팜특구관광단지(벨포레리조트),관광단지,충청북도 증평군 도안면 벨포레길 346,충청북도 증평군 증평읍 연촌리 산 58,36.84514868,127.5821182,2622825,관리사무소+화장실+주차장,휴양콘도,"골프장, 익스트림루지, 수상레저, 마리나클럽, 디노시네마, 몬테소리","벨포레목장, 국제정원",,,2009-10-02,8328,2776,"충청북도 유일한 관광특구단지, 중부권 최대관광단지로 다양한 액티비티 활동과 휴양시설을 갖춤",1566-0162,㈜블랙스톤에듀팜리조트,2021-05-31,5570000,충청북도 증평군
인천도호부청사,관광지,인천광역시 미추홀구 매소홀로 589,인천광역시 미추홀구 문학동 349-2,37.4393787007,126.6868134399,9103,"관리사무소,화장실,주차장",,,,,,2001-10-14,3000,50,조선시대 행정기관의 하나로 상급기관인 목(牧)과 하급기관인 군(郡) · 현(縣) 사이에서 행정을 담당했던 관청,032-422-3492,인천광역시,2021-06-01,3510500,인천광역시 미추홀구
고구려대장간마을,관광지,경기도 구리시 우미내길 41,경기도 구리시 아천동 산45-1,37.56080787,127.1109492,4928,관리사무소+화장실+주차장,,,,,,2008-04-25,200,100,국내유일의 고구려 박물관으로 아차산에서 출토된 유물을 전시하고 있으며 고구려모습을 보여주는 야외전시관을 운영,031-550-8355,경기도 구리시청,2021-07-23,3980000,경기도 구리시
동구릉,관광지,경기도 구리시 동구릉로 197번길,경기 구리시 인창동 66-1,37.618696,127.134226,1969675,관리사무소+화장실+주차장,,,,,,1970-05-26,5000,109,유네스코 세계유산이자 사적 제193호로 지정된 「구리 동구릉(東九陵)」은 ‘도성(都城)의 동(東)쪽에 있는 아홉(九) 기의 왕릉’이라 하여 동구릉이라 붙여짐,031-563-2909,문화재청,2021-07-23,3980000,경기도 구리시
금강하구둑관광지,관광지,충청남도 서천군 마서면 장산로 855번길 56-2,충청남도 서천군 마서면 도삼리 71-5,36.01993599,126.736726,175384,종합안내소+주차장+화장실,,,,,,1993-09-22,5000,486,"금강을 경계로 군산과 인접하고 있으며, 철새도래지로 유려한 철새군무를 볼수 있고 먹거리가 풍부함",041-950-4018,충청남도 서천군청,2021-07-23,4580000,충청남도 서천군
화개장터,관광지,경상남도 하동군 화개면 쌍계로 15,경상남도 하동군 화개면 탑리 726-46,35.1879894558,127.6240666255,8226,화장실(2동)+주차장,,,,,,2001-09-25,3000,300,영호남 교통의 길목이며 물류이동의 중심지로서 화개장터가 조성됨,055-880-2381,경상남도 하동군청,2020-12-01,5440000,경상남도 하동군
남원관광지,관광지,전라북도 남원시 양림길 12,전라북도 남원시 어현동 37-19,35.4024809544,127.3861367148,909510,관리사무소 주차장 화장실 등,켄싱턴리조트 춘향가호텔 남원파크 호텔춘향 리버모텔 드라마모텔 마음호텔 등,오리보트장 궁술장,남원랜드 국립국악원 동백연죽전시장 춘향테마파크 향토박물관 사랑의 광장 등,,,1985-10-10,1000,255,"남원하면 떠오르는 모든 상징물과 위락시설들을 모아 놓은 종합관광단지이다. 남원시 어현동 일대에 자리하고 있다. 한국관광공사가 조성한 남원관광단지에는 춘향전과 관련된 춘향테마파크, 춘향문화예술회관을 비롯해 국립민속국악원, 남원향토박물관 등의 문화시설이 있다.",063-620-8911,남원시청,2021-09-13,4700000,전라북도 남원시
광주광역시백범기념관,관광지,광주광역시 동구 천변우로 599,광주광역시 동구 학동 1013,35.13113791,126.926364,301.38,주차장+화장실+관광안내소,,,,,,2015-10-25,200,30,김구 선생의 독립운동 업적만을 알리고 기리는 것이 아닌 나라를 찾기 위해 희생한 선열들의 뜻과 삶을 알리고 이를 계승하고자 설립된 기념관.,062-233-2477,백범문화재단,2022-01-01,6290000,광주광역시
광주광역시학생독립기념관,관광지,광주광역시 서구 학생독립로 30,,35.14058722,126.865043,2556,화장실+주차장,,,,,,2005-11-30,100,50,"학생독립운동 정신 선양을 위해 나라사랑 역사체험학습, 전시안내 자원봉사자 양성, 광주광역시학생독립운동 동지회 지원 등을 비롯한 다채로운 프로그램을 전개",062-221-5532,광주광역시학생독립운동기념회관,2022-01-01,6290000,광주광역시
조선대학교 장미원,관광지,광주광역시 동구 필문대로 309,,35.14600564,126.9343635,8299,화장실+주차장,,,,,,2001-05-01,1000,1000,아름답게 핀 장미를 보며 산책할 수 있음,062-230-7114,조선대학교,2022-01-01,6290000,광주광역시
산동교친수공원,관광지,,광주광역시 북구 동림동 130-15,35.18969955,126.8619726,7350,화장실+주차장,,,,,,2011-11-10,2000,50,"넓은 유채꽃밭이 있으며, 도심 속 작은 휴양지를 느낄 수 있음",062-410-6793,광주광역시 북구청,2022-01-01,6290000,광주광역시
푸른길공원,관광지,,광주광역시 남구 주월동 355-5,35.13325855,126.898694,98300,화장실+주차장,,,,,,2002-05-07,100,20,경정선 광주광역시 구간이 폐선된 이후 폐철도 부지에 조성된 도시공원,062-675-3280,광주광역시 남구청,2022-01-01,6290000,광주광역시
원효사,관광지,,광주광역시 북구 금곡동 산 209-13,35.14874455,126.983272,8595,주차장+화장실+관광안내소,,,,,,1980-01-01,200,210,원효대사가 창건한 고찰. 호남지방에서 통일신라시대 작품으로는 가장 아름답고 완전하게 보존된 것으로 후불탱화를 부처님 크기에 맞춰 목각탱화로 조성해 벽면에 부착시켜 놓았다.,062-266-0326,원효사,2022-01-01,6290000,광주광역시
문화근린공원,관광지,광주광역시 북구 대천로 86,,35.1849167,126.9166857,87287,화장실+주차장,,,,,,1990-12-31,100,20,북구에 위치한 산책하기 좋은 공원,062-410-8000,광주광역시 북구청,2022-01-01,6290000,광주광역시
영산강거징이쉼터,관광지,,광주광역시 북구 신용동 368,35.2128207,126.855218,47000,화장실+주차장,,,,,,2011-10-23,1000,0,"첨단2지구 영산강 수변공원, 피크닉 즐길 수 있음",062-410-8000,광주광역시 북구청,2022-01-01,6290000,광주광역시
광주광역시천천변공원,관광지,,광주광역시 북구 임동 618,35.1665834,126.8857554,25101,화장실+주차장,,종합체육시설,,,,2013-08-01,3000,1000,분수쇼나와 아름다운 조명이 펼쳐져 가족과의 나들이나 연인들의 데이트 코스로 일품인 곳임,062-410-8000,광주광역시 북구청,2022-01-01,6290000,광주광역시
전남대학교용지,관광지,,광주광역시 북구 용봉동 81-2,35.17388133,126.9111447,17951,화장실+주차장,,종합체육시설,,,,1969-01-01,1000,1000,전남대학교를 구경할 수 있음,062-530-5114,광주광역시 전남대학교,2022-01-01,6290000,광주광역시
맥문동숲길,관광지,,광주광역시 북구 문흥동 1012,35.18561007,126.9216152,7274,화장실+주차장,,종합체육시설,,,,2017-11-22,1000,30,산책하며 꽃구경을 할 수 있음,062-971-6467,광주광역시 북구청,2022-01-01,6290000,광주광역시
용봉초록습지,관광지,,광주광역시 북구 용봉동 1027,35.18332703,126.8898185,203000,화장실+주차장,,,,,,2012-06-15,500,50,가족과 함께하기 좋은 산책로,062-971-6467,광주광역시 북구청,2022-01-01,6290000,광주광역시
추사박물관,관광지,경기도 과천시 추사로 78,경기도 과천시 주암동 184-2,37.4530047663,127.0287157,3020,도로+주차장+화장실,,,https://www.gccity.go.kr/chusamuseum/main.do,,,2013-06-03,300,33,추사 김정희가 말년에 4년간 과지초당에서 지내며 꽃피웠던 학문과 예술의 정수를 알리기 위해 추사박물관 개관함.,02-2150-3650,과천시,2021-08-05,3970000,경기도 과천시
순천만국가정원,관광지,전라남도 순천시 국가정원1호길 47,전라남도 순천시 오천동 600,34.92888588,127.4999591,926992,"ATM, 의료센터, 체험학습센터, 공중전화, 물품대여소, 물품보관소, 분실물보관소, 종합안내소, 매표소, 수유실, 어린이보호소, 노약자/장애인 보호소, 대형버스기사쉼터",해당없음,"관람차,스카이큐브,야생동물원,세계의상체험장,수상자전거체험,이미지유화체험","갯벌공연장,갯지렁이갤러리,갯지렁이도서관,한방체험센터","매점,식당,카페,기념품점","소회의실,컨퍼런스홀,입체영상관,",2015-09-05,130000,3530,대한민국 생태도시 순천은 세계 5대 연안습지인 순천만습지의항구적인 보전을 위해 정원을 조성하고 2013순천만국제정원박람회를 개최하였다. 그 이후 제1호 국가정원으로 지정됨으로써 순천만국가정원은 대한민국 정원문화산업의 메카로 자리매김하게 되었다.,061-749-2910,순천시청 국가정원운영과,2021-08-01,4820000,전라남도 순천시
순천만습지,관광지,전라남도 순천시 순천만길 513-25(대대동),전라남도 순천시 대대동 162-2,34.88553578,127.5096727,3015859,"순천만쉼터, 공예·특산품관, 안내소,유모차대여,양산대여",,"용산전망대,순천만갈대밭","순천문학관,체험선,순천만역사관,자연생태관",,,2008-06-16,1000,600,"75㎢가 넘는 해수역, 22.6㎢의 갯벌면적, 5.4㎢에 달하는 거대한 갈대군락과 겨울이면 흑두루미, 재두루미, 노랑부리저어새, 큰고니, 검은머리물떼새 등 순천만에서 발견되는 철새는 총 230여종으로 우리나라 전체 조류의 절반가량이나 되며 2003년 습지 보호지역, 2006년 람사르협약 등록, 2008년 국가지정문화재 명승 제41호로 지정된 순천만은 농게, 칠게, 짱뚱어 등과 같은 갯벌 생물들이 한데 어우러져 살아가고 있음.",061-749-6052,순천시청 순천만보전과,2021-08-01,4820000,전라남도 순천시
낙안읍성,관광지,전라남도 순천시 낙안면 충민길 30(동내리),전라남도 순천시 낙안면 동내리 438-1,34.90632579,127.3417663,223108,"주차장, 화장실, 음수대, 매표소, 관광안내소, 전시가옥, 체험장, 자료관, 교통통제소",개인 민박(36개소),,,"식당(난전1~4호점), 매점",,1983-06-14,30000,565,"조선시대 상징적 계획도시인 읍성으로 주민이 실재 거주하는 대한민국 대표 민속마을-사적 제302호(1983.6.14.), 세계문화유산 잠정목록에 등재(2011.3.29.)",061-749-8840,순천시청 낙안읍성,2021-08-01,4820000,전라남도 순천시
드라마촬영장,관광지,전라남도 순천시 비례골길 24(조례동),전라남도 순천시 조례동 22,34.9583743,127.5381867,40463,"화장실,수유실",해당없음,"추억음악실,청춘사진관,뽑기방,오락실","순양극장,언약의집","매점,장터",해당없음,2006-11-02,10000,170,2006년 개장한 순천드라마촬영장은 1960~80년대 시대별 3개 마을(185여채)이 조성되어 있으며 7080 복고 체험 프로그램을 구성하여 관광객이 지속적으로 증가하고 있는 추세임,061-749-4540,순천시청 관광진흥과,2021-08-01,4820000,전라남도 순천시
뿌리깊은나무박물관,관광지,전라남도 순천시 낙안면 평촌3길 45,전라남도 순천시 낙안면 남내리 219,34.9036464,127.3399827,1736,"박물관 쉼터, 물품보관소, 매표소, 안내데스크",해당없음,해당없음,해당없음,해당없음,해당없음,2011-11-21,300,40,"2011년에 개관한 뿌리깊은나무박물관은 잡지뿌리깊은나무 창간자 故한창기 선생이 생전에 모은 6,500여점의 유물이 전시·보존 되어 있는곳입니다.",061-749-8855,순천시청 문화예술과,2021-08-01,4820000,전라남도 순천시
송광사,관광지,전라남도 순천시 송광면 송광사안길 100,전라남도 순천시 송광면 신평리 12,35.00680596,127.2761941,44297,쉼터,,,,,,2009-12-21,200,300,유구한 역사를 품은 힐링 사찰,061-755-0107,순천시청 송광면,2021-08-01,4820000,전라남도 순천시
춘장대,관광지,충청남도 서천군 서면 춘장대길 20,충청남도 서천군 서면 도둔리 1319,36.16334922,126.5243355,298930,종합안내소+주차장+화장실+취사장,,,,,,1977-04-21,100000,300,국내 유일의 해송림 해수욕장으로 캠핑장과 조개잡이 체험등 다양한 즐길거리와 인근 동백정 마량항등 볼거리도 풍부,041-950-4091,충청남도 서천군청,2021-07-23,4580000,충청남도 서천군
태조산관광지,관광지,충청남도 천안시 동남구 태조산길 261,,36.82207666,127.1889559,331000,주차장,,,조각공원,,,1985-07-24,10000,300,유량동 태조산 아래에 자리잡힌 넓은 공원으로 천안시민들의 문화ㆍ휴식 공간,041-550-2520,천안시시설관리공단,2020-12-10,4490000,충청남도 천안시
삼성궁,관광지,경상남도 하동군 청암면 삼성궁길 2,경상남도 하동군 청암면 묵계리 1738-3,35.2387009275,127.7054287916,43967,화장실(2동)+주차장,,,,,,2001-12-03,3000,100,"환인, 환웅, 단군을 모신 궁이며 돌탑 등을 관람 할 수 있음",055-884-1279,경상남도 하동군청,2020-12-01,5440000,경상남도 하동군
하동야생차박물관,관광지,경상남도 하동군 화개면 쌍계로 571-25,경상남도 하동군 화개면 운수리 664,35.2277321517,127.6426921460,2363,화장실(2동)+주차장,,,"상설전시, 특별전시",,,2003-04-01,500,50,"하동 야생차에 대한 전시와 다례체험, 덖음체험 등을 즐 길 수 있음",055-880-2956,경상남도 하동군청,2020-12-01,5440000,경상남도 하동군
빛가람호수공원전망대,관광지,전라남도 나주시 호수로 77,전라남도 나주시 빛가람동 산4-321,35.0152195,126.7811718,24000,화장실,N,"돌미끄럼틀, 모노레일","전망대, 갤러리",카페 및 전시관,,2016-07-08,1000,104,공원,061-333-1501,나주시,2017-04-01,4830000,전라남도 나주시
천안종합휴양관광지,관광지,충청남도 천안시 동남구 성남면 종합휴양지로 200,,36.75731215,127.2240961,748020,주차장,콘도미니엄,워터파크,"미술관, 공연장",식당,,1996-07-02,5000,500,"중부권 최대의 온천관광지로 워터파크, 휴양콘도, 천안예술의 전당이 있음.",041-906-7000,소노벨 천안,2020-12-10,4490000,충청남도 천안시
순천컨트리클럽,관광지,전라남도 순천시 별량면 동화사길 85,전라남도 순천시 별량면 죽산리 447,34.86653556,127.4059214,1620000,골프장,,,,"매점,식당",,2007-03-12,160,150,"골프를 즐기면서 순천만과 여수, 고흥 앞바다를 한눈에 내려다볼 수 있는 자연 경관이 아름다운 남도 최고의 힐링골프장이다.",061-720-0000,순천시청 별량면,2021-08-01,4820000,전라남도 순천시
부영컨트리클럽,관광지,전라남도 순천시 해룡면 신대로 188,전라남도 순천시 해룡면 신대리 1043,34.94005246,127.5555065,842238,ATM,호텔,골프연습장,x,호텔 76객실,,2012-10-03,160,150,자연 친화형 설계로 도심과 가까운 곳에 위치하여 언제든지 부담없이 즐길수 있는 18홀 코스 컨트리클럽,061-816-5533,순천시청 해룡면,2021-08-01,4820000,전라남도 순천시
서동요역사관광지,관광지,충청남도 부여군 충화면 충신로 618,충청남도 부여군 충화면 가화리 313,36.145896,126.824678,174508,관리사무소+주차장+화장실,수련시설,짚라이더+둘레길,부여군청소년수련원,,,2008-11-20,400,150,역사문화환경을 구축하여 부여 대표 관광명소,041-830-2222,부여군 문화체육관광과,2021-07-15,4570000,충청남도 부여군
백제문화관광단지,관광단지,충청남도 부여군 규암면 백제문로 400,충청남도 부여군 규암면 합정리 578,36.303913,126.900639,3026277,주차장+화장실,휴양콘도미니엄,골프장,백제역사문화관+백제문화단지+롯데아울렛,,,2015-01-12,100000,3000,"고유의 교육적 가치 제고 및 관광, 지역경제 활성화를 위한 슈요자 중심의 체류형 종합 관광단지",041-830-2222,부여군 문화체육관광과,2021-07-15,4570000,충청남도 부여군
은파관광지,관광지,전라북도 군산시 은파순환길9 (나운동),전라북도 군산시 나운동 1223-5,35.95536227,126.6890748,1764095,관리사무소+화장실+주차장+잔디관장,관광호텔,다목적운동장+체력단련장,숲체험장+휴게쉼터+전망휴게쉼터+생태습지+억새원+편백나무쉼터+숲속산책쉼터,야외공연장,없음,2020-07-10,40000,982,봄철이 되면 화사한 벚꽃길로 유명하여 시민들의 사랑을 받고 있다.,063-454-3362,전라북도 군산시청,2021-07-12,4670000,전라북도 군산시
